Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,CV_Match_Odds,CV_Match_Type,Media_Ptos_Home,CV_Media_Ptos_Home,Media_Ptos_Away,CV_Media_Ptos_Away,Media_Saldo_Golos_Home_HT,Media_Saldo_Golos_Away_HT,Media_Golos_Marcados_Home_HT,CV_Media_Golos_Marcados_Home_HT,Media_Golos_Marcados_Away_HT,CV_Media_Golos_Marcados_Away_HT,Media_Golos_Sofridos_Home_HT,CV_Media_Golos_Sofridos_Home_HT,Media_Golos_Sofridos_Away_HT,CV_Media_Golos_Sofridos_Away_HT,Media_Saldo_Golos_Home,Media_Saldo_Golos_Away,Media_Golos_Marcados_Home,CV_Media_Golos_Marcados_Home,Media_Golos_Marcados_Away,CV_Media_Golos_Marcados_Away,Media_Golos_Sofridos_Home,CV_Media_Golos_Sofridos_Home,Media_Golos_Sofridos_Away,CV_Media_Golos_Sofridos_Away,Media_CG_01_Marcados_Home,CV_Media_CG_01_Marcados_Home,Media_CG_01_Marcados_Away,CV_Media_CG_01_Marcados_Away,Media_CG_01_Sofridos_Home,CV_Media_CG_01_Sofridos_Home,Media_CG_01_Sofridos_Away,CV_Media_CG_01_Sofridos_Away,Media_CG_02_Marcados_Home,CV_Media_CG_02_Marcados_Home,Media_CG_02_Marcados_Away,CV_Media_CG_02_Marcados_Away,Media_CG_02_Sofridos_Home,CV_Media_CG_02_Sofridos_Home,Media_CG_02_Sofridos_Away,CV_Media_CG_02_Sofridos_Away,Media_Shots_Home,CV_Media_Shots_Home,Media_Shots_Away,CV_Media_Shots_Away,Media_Shots_Against_Home,CV_Media_Shots_Against_Home,Media_Shots_Against_Away,CV_Media_Shots_Against_Away,Media_Shots_per_Goal_Home,CV_Media_Shots_per_Goal_Home,Media_Shots_per_Goal_Away,CV_Media_Shots_per_Goal_Away,Media_Shots_per_Goal_Against_Home,CV_Media_Shots_per_Goal_Against_Home,Media_Shots_per_Goal_Against_Away,CV_Media_Shots_per_Goal_Against_Away,Media_Shots_On_Target_Home,CV_Media_Shots_On_Target_Home,Media_Shots_On_Target_Away,CV_Media_Shots_On_Target_Away,Media_Shots_On_Target_Against_Home,CV_Media_Shots_On_Target_Against_Home,Media_Shots_On_Target_Against_Away,CV_Media_Shots_On_Target_Against_Away,Media_Shots_On_Target_per_Goal_Home,CV_Media_Shots_On_Target_per_Goal_Home,Media_Shots_On_Target_per_Goal_Away,CV_Media_Shots_On_Target_per_Goal_Away,Media_Shots_On_Target_per_Goal_Against_Home,CV_Media_Shots_On_Target_per_Goal_Against_Home,Media_Shots_On_Target_per_Goal_Against_Away,CV_Media_Shots_On_Target_per_Goal_Against_Away,Media_Goal_Attempts_Home,CV_Media_Goal_Attempts_Home,Media_Goal_Attempts_Away,CV_Media_Goal_Attempts_Away,Media_Goal_Attempts_Against_Home,CV_Media_Goal_Attempts_Against_Home,Media_Goal_Attempts_Against_Away,CV_Media_Goal_Attempts_Against_Away,Media_Goal_Attempts_per_Goal_Home,CV_Media_Goal_Attempts_per_Goal_Home,Media_Goal_Attempts_per_Goal_Away,CV_Media_Goal_Attempts_per_Goal_Away,Media_Goal_Attempts_per_Goal_Against_Home,CV_Media_Goal_Attempts_per_Goal_Against_Home,Media_Goal_Attempts_per_Goal_Against_Away,CV_Media_Goal_Attempts_per_Goal_Against_Away,Media_Corners_Home,CV_Media_Corners_Home,Media_Corners_Away,CV_Media_Corners_Away,Media_Corners_Against_Home,CV_Media_Corners_Against_Home,Media_Corners_Against_Away,CV_Media_Corners_Against_Away,Media_Ball_Possession_Home,CV_Media_Ball_Possession_Home,Media_Ball_Possession_Away,CV_Media_Ball_Possession_Away,Media_Ball_Possession_Against_Home,CV_Media_Ball_Possession_Against_Home,Media_Ball_Possession_Against_Away,CV_Media_Ball_Possession_Against_Away,Media_RPS_MO_Home,CV_Media_RPS_MO_Home,Media_RPS_MO_Away,CV_Media_RPS_MO_Away,Media_RPS_OvUn_Home,CV_Media_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_Media_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_Media_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_Media_RPS_BTTS_Away,Media_Prob_Home,CV_Media_Prob_Home,Media_Prob_Away,CV_Media_Prob_Away,Poisson_0_GM_Home,Poisson_1_GM_Home,Poisson_2_GM_Home,Poisson_3_GM_Home,Poisson_4_GM_Home,Poisson_0_GM_Away,Poisson_1_GM_Away,Poisson_2_GM_Away,Poisson_3_GM_Away,Poisson_4_GM_Away,Poisson_0_GS_Home,Poisson_1_GS_Home,Poisson_2_GS_Home,Poisson_3_GS_Home,Poisson_4_GS_Home,Poisson_0_GS_Away,Poisson_1_GS_Away,Poisson_2_GS_Away,Poisson_3_GS_Away,Poisson_4_GS_Away,Probabilidade_Goals_Scored_Home,Probabilidade_Goals_Scored_Away,Probabilidade_Goals_Taken_Home,Probabilidade_Goals_Taken_Away,Media_Power_Ranking_Home,CV_Media_Power_Ranking_Home,Media_Power_Ranking_Away,CV_Media_Power_Ranking_Away,Media_First_Goal_Home,Media_First_Goal_Away,Media_First_Goal_Taken_Home,Media_First_Goal_Taken_Away,Perc_Scored_1_Goal_1st_Half_Home,Perc_Scored_1_Goal_1st_Half_Away,Perc_Took_1_Goal_1st_Half_Home,Perc_Took_1_Goal_1st_Half_Away,Perc_Scored_1_Goal_FT_Home,Perc_Scored_1_Goal_FT_Away,Perc_Took_1_Goal_FT_Home,Perc_Took_1_Goal_FT_Away,Perc_Scored_at_least_1_Goal_Home,Perc_Scored_at_least_1_Goal_Away,Perc_Took_at_least_1_Goal_Home,Perc_Took_at_least_1_Goal_Away,Perc_of_Games_BTTS_Yes_Home,Perc_of_Games_BTTS_Yes_Away,Perc_Over_05_HT_Home,Perc_Over_05_HT_Away,Perc_Under_05_HT_Home,Perc_Under_05_HT_Away,Perc_Over_15_HT_Home,Perc_Over_15_HT_Away,Perc_Under_15_HT_Home,Perc_Under_15_HT_Away,Perc_Over_15_FT_Home,Perc_Over_15_FT_Away,Perc_Under_15_FT_Home,Perc_Under_15_FT_Away,Perc_Over_25_FT_Home,Perc_Over_25_FT_Away,Perc_Under_25_FT_Home,Perc_Under_25_FT_Away,Perc_Wins_HT_Home,Perc_Wins_HT_Away,Perc_Wins_FT_Home,Perc_Wins_FT_Away
1,AUSTRALIA - A-LEAGUE,2025-01-08,09:00,Sydney FC,Perth Glory,1.25,6.5,10.0,1.18,4.5,1.08,8.0,1.29,3.75,1.62,2.2,0.8,0.15384615384615385,0.1,0.8475,0.2222,0.9259,0.125,0.7752,0.2667,0.6173,0.4545,0.1923,0.125,5.2,0.65,8.0,1.5385,8.75,5.25,3.5,77.125,69.1455,60.2551,0.875,0.8077,0.35,0.9054,Unbalanced Game,1.5929,0.8839,0.4686,1.6481,0.3541,-1.795,0.6922,1.2977,0.2828,1.5997,0.3381,1.4126,1.409,1.1397,0.609,-1.795,1.93,0.9435,1.1047,0.8478,1.321,0.723,2.8996,0.7501,3.5495,0.0864,5.5966,0.1638,2.3137,0.3125,15.9873,0.0339,1.4326,0.1201,0.6583,0.1398,0.9852,0.1224,1.5004,0.0988,-0.3844,-4.8933,-0.0627,-33.5789,-0.524,-3.7006,0.1416,29.6342,-0.0821,-12.2826,-0.1754,-5.3797,-0.3158,-3.1317,0.3105,6.351,0.0318,108.8553,-0.0277,-72.0975,0.8052,3.9888,0.1508,25.2235,0.1197,12.5597,-0.0439,-30.0501,-0.1184,-12.0346,0.0912,13.7774,1.4787,5.0631,0.9182,4.4548,1.3283,4.9484,3.9003,2.4163,1.1109,3.9813,0.3246,7.3466,0.4868,5.7658,1.1877,3.5198,-0.2946,-7.3557,-0.1771,-10.7431,-0.0123,-242.7886,0.5519,5.5095,7.2988,3.1354,6.264,2.1593,4.6087,3.343,14.8201,1.9719,0.2862,0.1324,0.2611,0.0931,0.8745,0.1005,0.8508,0.1093,0.4445,0.0486,0.4145,0.0671,0.602,0.058,0.2114,0.0341,0.1451,0.2801,0.2703,0.1739,0.0839,0.3313,0.366,0.2022,0.0744,0.0206,0.2669,0.3525,0.2328,0.1025,0.0339,0.055,0.1596,0.2314,0.2237,0.1621,2.5204,1.1737,1.6256,2.8579,79.173,0.6189,-39.1144,-3.4673,33.47,36.63,45.32,24.68,47.37,15.79,21.05,57.89,63.16,15.79,36.84,73.68,63.16,15.79,36.84,73.68,68.42,68.42,68.42,73.68,31.58,26.32,31.58,36.84,68.42,63.16,100.0,89.47,5.26,15.79,63.16,73.68,36.84,26.32,47.37,10.53,52.63,5.26
2,THAILAND - THAI LEAGUE 1,2025-01-08,13:00,Port MTI FC,Lamphun Warrior,1.5,4.1,4.9,1.25,3.4,1.16,4.8,1.57,2.28,1.67,2.08,0.6666666666666666,0.24390243902439027,0.2040816326530612,0.8,0.2941,0.8621,0.2083,0.6369,0.4386,0.5988,0.4808,0.3659,0.3061,2.7333,0.8367,3.2667,1.1951,3.4,2.6,0.8,59.5345,52.4314,21.8014,0.6939,0.6341,0.1633,0.5633,Unbalanced Game,1.6527,0.7934,0.5473,1.7451,0.3708,-0.8014,0.8752,0.969,0.3756,1.6161,0.5044,1.2034,0.7337,1.0981,0.8906,-0.8014,2.1143,0.8823,1.1143,0.9409,1.2236,0.9143,1.9157,0.5296,3.6142,0.0414,4.5191,0.2028,1.8253,0.1859,7.7585,0.0211,1.6349,0.0765,0.7152,0.1681,0.9244,0.058,1.0836,0.0541,1.6865,2.1108,0.4719,5.5336,1.0105,2.8255,0.095,20.4274,0.7982,3.2403,0.1404,9.3077,0.2368,6.5283,0.1798,7.4093,1.6535,2.3276,0.3423,8.052,1.4454,1.9061,0.4259,6.6119,0.6561,3.3762,0.0877,14.7115,0.579,3.7079,0.3158,4.8429,5.8976,1.5836,2.0342,2.7301,3.3446,1.7359,1.7333,2.8236,2.8904,2.4712,0.6404,4.5387,1.4474,2.8453,1.136,2.7799,2.2701,2.0717,0.4021,7.0982,0.8534,3.3156,-0.231,-6.0952,20.0857,1.3807,12.1646,2.023,16.033,1.3806,11.1836,1.9597,0.2255,0.0568,0.2921,0.063,0.8494,0.0916,0.6044,0.0395,0.5303,0.0439,0.4985,0.0283,0.6909,0.0583,0.3251,0.0803,0.1207,0.2552,0.2698,0.1902,0.1005,0.3281,0.3657,0.2037,0.0757,0.0211,0.2942,0.3599,0.2202,0.0898,0.0275,0.1472,0.2821,0.2702,0.1725,0.0826,2.4886,1.3535,1.0676,2.0903,81.1947,1.225,38.8622,1.5864,26.47,22.58,26.79,40.0,63.16,15.79,21.05,52.63,73.68,21.05,21.05,78.95,73.68,21.05,21.05,78.95,57.89,47.37,84.21,68.42,15.79,31.58,57.89,36.84,42.11,63.16,94.74,100.0,15.79,15.79,63.16,57.89,36.84,42.11,52.63,15.79,63.16,10.53
3,INDIA - ISL,2025-01-08,15:00,Goa,Hyderabad,1.4,4.5,7.0,1.29,3.5,1.17,5.0,1.57,2.35,1.8,1.91,0.7142857142857143,0.2222222222222222,0.14285714285714285,0.7752,0.2857,0.8547,0.2,0.6369,0.4255,0.5556,0.5236,0.3111,0.2,3.2143,0.6429,5.0,1.5556,5.6,3.1,2.5,70.3462,57.1715,51.3402,0.8,0.6889,0.3571,0.7025,Unbalanced Game,1.6675,0.8543,0.6159,1.8121,0.1016,-1.0189,0.6123,1.3394,0.2551,2.9373,0.5108,1.1977,0.7625,0.962,0.347,-1.0189,1.5141,0.8253,0.6263,1.6013,1.1671,0.8984,1.6452,0.6202,2.718,0.1022,3.2534,0.1469,1.9284,0.2397,13.366,0.0341,1.1468,0.034,0.4605,0.5481,0.8573,0.0715,0.8816,0.1369,3.0569,2.0729,2.2226,1.92,1.7001,2.0832,0.8119,7.4158,1.7368,2.7191,0.3816,6.0139,0.3772,4.4475,1.6097,2.3158,0.9694,3.5279,0.6051,4.3852,-0.0573,-34.1553,0.0806,32.2581,0.4561,4.0039,0.2632,7.6611,0.0789,13.0292,0.3289,4.868,4.7242,1.901,3.423,1.7159,2.1421,2.3396,5.0901,1.5516,2.5789,2.3629,0.9605,4.2877,0.7632,3.1782,2.364,2.039,1.3482,2.6453,1.1017,2.7478,0.2045,9.2885,2.1869,2.0248,15.9603,1.6378,17.0579,1.363,12.8567,1.6642,22.2179,1.311,0.2703,0.0977,0.2577,0.064,0.6663,0.0188,0.6214,0.0378,0.4774,0.0568,0.4741,0.0572,0.6094,0.0697,0.2368,0.2884,0.22,0.3331,0.2522,0.1273,0.0482,0.5346,0.3348,0.1048,0.0219,0.0034,0.3113,0.3633,0.212,0.0825,0.0241,0.193,0.3175,0.2612,0.1432,0.0589,1.9232,0.796,1.3442,1.6382,100.17,0.6712,-0.4763,-236.3439,35.42,26.21,22.26,30.21,31.58,10.53,36.84,52.63,47.37,15.79,47.37,78.95,47.37,15.79,47.37,78.95,52.63,36.84,68.42,63.16,31.58,36.84,31.58,36.84,68.42,63.16,94.74,100.0,31.58,31.58,63.16,42.11,36.84,57.89,36.84,5.26,57.89,15.79
4,SCOTLAND - PREMIERSHIP,2025-01-08,20:45,Celtic,Dundee Utd,1.14,8.0,15.0,1.2,4.33,1.1,7.0,1.33,3.4,1.95,1.8,0.8771929824561404,0.125,0.06666666666666667,0.8333,0.2309,0.9091,0.1429,0.7519,0.2941,0.5128,0.5556,0.1425,0.076,7.0175,0.5333,13.1579,1.875,13.86,6.86,7.0,81.7889,73.7462,74.0546,0.924,0.8575,0.4667,1.036,Unbalanced Game,2.5785,0.2906,1.5458,0.8308,0.9972,0.3611,1.5186,1.0344,0.4549,1.3449,0.5214,1.0779,0.4938,1.7035,1.9863,0.3611,2.713,0.5393,1.494,0.8939,0.7266,0.9531,1.1329,1.0392,4.0315,0.0413,4.2439,0.0488,0.8321,0.427,3.2451,0.2502,1.976,0.051,1.0735,0.1095,0.6865,0.0848,0.7577,0.0689,4.0033,1.2447,2.6476,1.1063,6.5586,0.321,1.8081,2.5338,1.5328,1.3905,1.1079,2.0617,0.3684,4.3825,1.9079,1.9107,3.4099,1.381,1.9288,1.608,9.246,0.2911,0.7352,4.2607,1.3521,1.1085,0.7044,2.2731,0.3158,4.1292,1.2982,2.0748,10.7474,1.0822,7.305,1.0257,5.549,0.9354,11.2461,0.86,4.3688,1.0213,3.257,1.5694,1.4211,2.5216,4.8158,1.7857,4.9453,1.3522,1.7768,1.6736,2.9532,0.9682,4.383,1.0212,42.1534,0.8567,27.5781,0.885,23.9215,0.7314,38.2584,0.7893,0.1395,0.3771,0.3256,0.0928,0.9693,0.0222,0.5316,0.0258,0.4513,0.0273,0.5123,0.0289,0.7942,0.0183,0.4628,0.1204,0.0663,0.18,0.2441,0.2208,0.1497,0.2245,0.3354,0.2505,0.1248,0.0466,0.4836,0.3513,0.1276,0.0309,0.0056,0.3221,0.3649,0.2067,0.0781,0.0221,3.0748,1.7026,0.4958,1.071,116.5199,0.5586,-13.3367,-10.1297,29.68,45.95,24.26,23.53,68.42,31.58,15.79,36.84,84.21,52.63,15.79,42.11,84.21,52.63,15.79,42.11,47.37,57.89,84.21,68.42,15.79,31.58,47.37,21.05,52.63,78.95,100.0,94.74,0.0,31.58,78.95,47.37,21.05,52.63,73.68,31.58,84.21,47.37
5,SCOTLAND - PREMIERSHIP,2025-01-08,20:45,Kilmarnock,Motherwell,1.95,3.4,3.8,1.44,2.63,1.33,3.4,2.0,1.8,1.91,1.91,0.5128205128205129,0.29411764705882354,0.2631578947368421,0.6944,0.3802,0.7519,0.2941,0.5,0.5556,0.5236,0.5236,0.5735,0.5132,1.7436,0.8947,1.9487,1.1176,1.85,1.45,0.4,42.7688,35.9421,11.3099,0.4868,0.4265,0.1053,0.3115,Unbalanced Game,1.463,0.8778,1.3313,1.0716,-0.2474,-0.4009,0.3916,1.5501,0.6312,1.3161,0.6391,1.4157,0.8116,0.8789,-0.2202,-0.4009,1.2825,1.0515,1.4739,0.8851,1.5027,0.937,1.8748,0.5783,3.6793,0.1081,7.4503,0.1446,5.6608,0.2015,10.5968,0.0544,0.9747,0.0617,0.9193,0.1077,0.8431,0.0913,1.0246,0.045,2.039,1.7908,1.5689,2.2516,1.1754,2.4731,0.4619,6.3821,0.9939,2.571,1.5684,1.9831,0.4105,3.448,0.7939,2.5978,1.8608,1.6449,0.9196,3.1159,1.5838,1.989,0.7587,4.9757,0.8579,2.2872,1.0421,1.8753,0.6737,2.3978,1.136,2.3613,7.1318,1.2359,3.8433,1.8396,5.4743,1.3199,7.3424,1.221,3.4544,1.7793,3.4368,1.7661,1.6912,2.0741,3.7018,1.7426,1.7691,1.8078,1.9064,2.1415,1.7695,1.6462,3.0648,1.5361,19.853,1.1752,19.5739,1.197,29.8426,1.0328,29.2136,1.0609,0.2896,0.0425,0.3201,0.0715,0.4985,0.0532,0.5431,0.0381,0.5228,0.0187,0.5201,0.0229,0.423,0.0466,0.2597,0.0262,0.2773,0.3557,0.2281,0.0975,0.0313,0.229,0.3376,0.2488,0.1222,0.045,0.2225,0.3344,0.2512,0.1258,0.0473,0.1534,0.2876,0.2696,0.1685,0.079,1.3125,1.6386,1.0493,1.8492,30.7827,3.4618,4.5171,36.1937,38.58,31.63,22.74,34.11,36.84,26.32,31.58,47.37,52.63,36.84,42.11,63.16,52.63,36.84,42.11,63.16,42.11,73.68,68.42,73.68,31.58,26.32,21.05,42.11,78.95,57.89,94.74,100.0,26.32,10.53,47.37,78.95,52.63,21.05,36.84,21.05,47.37,42.11
