Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,CV_Match_Odds,CV_Match_Type,Media_Ptos_Home,CV_Media_Ptos_Home,Media_Ptos_Away,CV_Media_Ptos_Away,Media_Saldo_Golos_Home,Media_Saldo_Golos_Away,Media_Golos_Marcados_Home,CV_Media_Golos_Marcados_Home,Media_Golos_Marcados_Away,CV_Media_Golos_Marcados_Away,Media_Golos_Sofridos_Home,CV_Media_Golos_Sofridos_Home,Media_Golos_Sofridos_Away,CV_Media_Golos_Sofridos_Away,Media_CG_01_Marcados_Home,CV_Media_CG_01_Marcados_Home,Media_CG_01_Marcados_Away,CV_Media_CG_01_Marcados_Away,Media_CG_01_Sofridos_Home,CV_Media_CG_01_Sofridos_Home,Media_CG_01_Sofridos_Away,CV_Media_CG_01_Sofridos_Away,Media_CG_02_Marcados_Home,CV_Media_CG_02_Marcados_Home,Media_CG_02_Marcados_Away,CV_Media_CG_02_Marcados_Away,Media_CG_02_Sofridos_Home,CV_Media_CG_02_Sofridos_Home,Media_CG_02_Sofridos_Away,CV_Media_CG_02_Sofridos_Away,Media_Shots_Home,CV_Media_Shots_Home,Media_Shots_Away,CV_Media_Shots_Away,Media_Shots_Against_Home,CV_Media_Shots_Against_Home,Media_Shots_Against_Away,CV_Media_Shots_Against_Away,Media_Shots_per_Goal_Home,CV_Media_Shots_per_Goal_Home,Media_Shots_per_Goal_Away,CV_Media_Shots_per_Goal_Away,Media_Shots_per_Goal_Against_Home,CV_Media_Shots_per_Goal_Against_Home,Media_Shots_per_Goal_Against_Away,CV_Media_Shots_per_Goal_Against_Away,Media_Shots_On_Target_Home,CV_Media_Shots_On_Target_Home,Media_Shots_On_Target_Away,CV_Media_Shots_On_Target_Away,Media_Shots_On_Target_Against_Home,CV_Media_Shots_On_Target_Against_Home,Media_Shots_On_Target_Against_Away,CV_Media_Shots_On_Target_Against_Away,Media_Shots_On_Target_per_Goal_Home,CV_Media_Shots_On_Target_per_Goal_Home,Media_Shots_On_Target_per_Goal_Away,CV_Media_Shots_On_Target_per_Goal_Away,Media_Shots_On_Target_per_Goal_Against_Home,CV_Media_Shots_On_Target_per_Goal_Against_Home,Media_Shots_On_Target_per_Goal_Against_Away,CV_Media_Shots_On_Target_per_Goal_Against_Away,Media_Goal_Attempts_Home,CV_Media_Goal_Attempts_Home,Media_Goal_Attempts_Away,CV_Media_Goal_Attempts_Away,Media_Goal_Attempts_Against_Home,CV_Media_Goal_Attempts_Against_Home,Media_Goal_Attempts_Against_Away,CV_Media_Goal_Attempts_Against_Away,Media_Goal_Attempts_per_Goal_Home,CV_Media_Goal_Attempts_per_Goal_Home,Media_Goal_Attempts_per_Goal_Away,CV_Media_Goal_Attempts_per_Goal_Away,Media_Goal_Attempts_per_Goal_Against_Home,CV_Media_Goal_Attempts_per_Goal_Against_Home,Media_Goal_Attempts_per_Goal_Against_Away,CV_Media_Goal_Attempts_per_Goal_Against_Away,Media_Corners_Home,CV_Media_Corners_Home,Media_Corners_Away,CV_Media_Corners_Away,Media_Corners_Against_Home,CV_Media_Corners_Against_Home,Media_Corners_Against_Away,CV_Media_Corners_Against_Away,Media_Ball_Possession_Home,CV_Media_Ball_Possession_Home,Media_Ball_Possession_Away,CV_Media_Ball_Possession_Away,Media_Ball_Possession_Against_Home,CV_Media_Ball_Possession_Against_Home,Media_Ball_Possession_Against_Away,CV_Media_Ball_Possession_Against_Away,Media_RPS_MO_Home,CV_Media_RPS_MO_Home,Media_RPS_MO_Away,CV_Media_RPS_MO_Away,Media_RPS_OvUn_Home,CV_Media_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_Media_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_Media_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_Media_RPS_BTTS_Away,Media_Prob_Home,CV_Media_Prob_Home,Media_Prob_Away,CV_Media_Prob_Away,Poisson_0_GM_Home,Poisson_1_GM_Home,Poisson_2_GM_Home,Poisson_3_GM_Home,Poisson_4_GM_Home,Poisson_0_GM_Away,Poisson_1_GM_Away,Poisson_2_GM_Away,Poisson_3_GM_Away,Poisson_4_GM_Away,Poisson_0_GS_Home,Poisson_1_GS_Home,Poisson_2_GS_Home,Poisson_3_GS_Home,Poisson_4_GS_Home,Poisson_0_GS_Away,Poisson_1_GS_Away,Poisson_2_GS_Away,Poisson_3_GS_Away,Poisson_4_GS_Away,Probabilidade_Goals_Scored_Home,Probabilidade_Goals_Scored_Away,Probabilidade_Goals_Taken_Home,Probabilidade_Goals_Taken_Away,Media_Power_Ranking_Home,CV_Media_Power_Ranking_Home,Media_Power_Ranking_Away,CV_Media_Power_Ranking_Away,Media_First_Goal_Home,Media_First_Goal_Away,Media_First_Goal_Taken_Home,Media_First_Goal_Taken_Away,Perc_Scored_1_Goal_1st_Half_Home,Perc_Scored_1_Goal_1st_Half_Away,Perc_Took_1_Goal_1st_Half_Home,Perc_Took_1_Goal_1st_Half_Away,Perc_Scored_1_Goal_FT_Home,Perc_Scored_1_Goal_FT_Away,Perc_Took_1_Goal_FT_Home,Perc_Took_1_Goal_FT_Away,Perc_Scored_at_least_1_Goal_Home,Perc_Scored_at_least_1_Goal_Away,Perc_Took_at_least_1_Goal_Home,Perc_Took_at_least_1_Goal_Away,Perc_of_Games_BTTS_Yes_Home,Perc_of_Games_BTTS_Yes_Away,Perc_Over_05_HT_Home,Perc_Over_05_HT_Away,Perc_Under_05_HT_Home,Perc_Under_05_HT_Away,Perc_Over_15_HT_Home,Perc_Over_15_HT_Away,Perc_Under_15_HT_Home,Perc_Under_15_HT_Away,Perc_Over_15_FT_Home,Perc_Over_15_FT_Away,Perc_Under_15_FT_Home,Perc_Under_15_FT_Away,Perc_Over_25_FT_Home,Perc_Over_25_FT_Away,Perc_Under_25_FT_Home,Perc_Under_25_FT_Away,Perc_Wins_HT_Home,Perc_Wins_HT_Away,Perc_Wins_FT_Home,Perc_Wins_FT_Away
1,AUSTRALIA - A-LEAGUE,2025-01-03,07:00,Melbourne City,Wellington Phoenix,1.8,4.2,3.8,1.33,3.25,1.22,4.33,1.73,2.1,1.67,2.1,0.5555555555555556,0.23809523809523808,0.2631578947368421,0.7519,0.3077,0.8197,0.2309,0.578,0.4762,0.5988,0.4762,0.4286,0.4737,2.3333,1.1053,2.1111,0.9048,2.0,2.4,0.4,45.0,50.1944,-11.3099,0.5263,0.5714,0.1053,0.4091,Unbalanced Game,1.6783,0.776,1.3436,0.9404,0.9429,0.1376,2.1846,1.205,1.2085,0.9576,1.2417,1.3223,1.0709,0.9581,4.2379,0.0528,3.9282,0.1033,2.2215,0.1391,3.6455,0.1886,1.546,0.0487,0.816,0.0839,0.8618,0.0999,0.6844,0.2291,-0.2679,-7.707,-0.6054,-1.6805,-1.7286,-0.6636,0.1708,17.6557,0.032,61.5125,-0.25,-3.1052,-0.1842,-2.8274,-0.2193,-5.0479,-0.512,-2.6885,-0.368,-4.6234,-1.5879,-1.0113,-0.0214,-126.9953,-0.1259,-10.332,-0.1272,-8.1604,-0.1491,-4.279,-0.3246,-2.175,0.3014,12.1788,0.1905,16.5123,0.3014,12.1788,1.632,4.2444,0.4004,8.8831,0.2412,7.8744,0.0088,143.6136,0.0965,25.2415,-0.1866,-12.2947,-0.4406,-3.325,-0.756,-0.9103,0.0584,52.1815,3.8804,3.5473,6.2813,2.9634,2.4163,3.9877,6.6239,2.9609,0.2886,0.088,0.3368,0.0549,0.7886,0.0327,0.6819,0.0261,0.5803,0.0689,0.4967,0.0431,0.5657,0.055,0.3162,0.0376,0.1125,0.2458,0.2685,0.1955,0.1068,0.2986,0.3609,0.2181,0.0879,0.0265,0.2889,0.3587,0.2227,0.0922,0.0286,0.3427,0.367,0.1965,0.0701,0.0188,2.5364,1.3243,1.168,1.0611,188.6822,0.3078,152.6539,0.2261,27.74,34.58,19.68,25.79,47.37,31.58,21.05,31.58,57.89,42.11,26.32,42.11,57.89,42.11,26.32,42.11,42.11,52.63,68.42,63.16,31.58,36.84,26.32,21.05,73.68,78.95,84.21,84.21,36.84,26.32,57.89,47.37,42.11,52.63,47.37,31.58,52.63,36.84
2,AUSTRALIA - A-LEAGUE,2025-01-03,09:35,Brisbane Roar,Central Coast Mariners,2.35,3.5,2.9,1.36,3.0,1.25,4.0,1.8,2.0,1.62,2.2,0.425531914893617,0.2857142857142857,0.3448275862068966,0.7353,0.3333,0.8,0.25,0.5556,0.5,0.6173,0.4545,0.6714,0.8103,1.4894,1.2069,1.234,0.8286,0.55,1.15,0.6,15.3763,29.8989,-16.6992,0.1897,0.3286,0.2069,0.1628,Balanced Game,1.0793,1.2694,2.1586,0.569,-0.2483,1.0774,1.8782,0.6934,2.0367,0.8018,2.1265,0.531,0.9593,1.0363,4.5101,0.1273,5.0853,0.0583,5.1012,0.1061,2.408,0.0997,1.1396,0.1313,1.2071,0.0451,1.2448,0.1191,0.6545,0.1215,0.1964,11.5703,-0.6254,-2.5736,-0.2718,-9.9235,-0.5653,-2.8505,0.1649,10.2153,-0.1842,-4.5608,-0.1403,-6.8182,0.0702,21.1368,-0.204,-7.5255,-0.4133,-3.8989,-0.2595,-9.6532,-0.6621,-1.9702,-0.0456,-25.614,0.0,inf,-0.1403,-6.3913,-0.0351,-34.0427,1.4069,3.3076,0.1798,21.8242,1.9515,2.8788,0.3732,10.1777,0.8754,4.3146,0.3684,6.2036,0.2588,7.2948,0.807,4.4998,-0.1313,-12.7068,-0.5568,-2.9553,0.0077,268.8831,-0.1948,-12.4076,7.2944,2.163,3.7125,3.6165,11.1267,2.0606,5.7473,3.2674,0.3232,0.021,0.3118,0.0276,0.8236,0.1194,0.7294,0.0441,0.3843,0.1283,0.5723,0.1005,0.437,0.0503,0.4142,0.0468,0.1529,0.2871,0.2696,0.1688,0.0793,0.1305,0.2657,0.2706,0.1837,0.0935,0.1193,0.2536,0.2696,0.1911,0.1016,0.3832,0.3676,0.1763,0.0564,0.0135,1.5649,2.151,1.7753,1.0458,169.4061,0.4498,180.0748,0.2041,32.21,29.79,31.58,23.47,42.11,36.84,36.84,26.32,47.37,52.63,52.63,42.11,47.37,52.63,52.63,42.11,73.68,42.11,78.95,63.16,21.05,36.84,47.37,31.58,52.63,68.42,100.0,94.74,0.0,21.05,84.21,57.89,15.79,42.11,26.32,42.11,31.58,68.42
3,AUSTRALIA - A-LEAGUE,2025-01-03,11:45,Perth Glory,Western United,4.33,3.8,1.75,1.29,3.5,1.17,5.0,1.53,2.5,1.5,2.5,0.23094688221709006,0.2631578947368421,0.5714285714285714,0.7752,0.2857,0.8547,0.2,0.6536,0.4,0.6667,0.4,1.1395,2.4743,0.8776,2.1714,0.4042,0.4605,2.58,0.53,2.05,-52.2174,-14.8422,-45.7073,1.4743,0.1395,1.1714,0.4321,Unbalanced Game,0.8061,1.506,1.0176,1.3464,-0.8043,-0.8277,1.6281,0.7441,1.2924,0.9723,2.4324,0.5535,2.1201,0.6462,4.5296,0.1104,4.719,0.0847,6.9402,0.1059,7.7648,0.0956,1.0014,0.1197,0.8322,0.0892,1.3961,0.1254,1.2006,0.102,0.2602,9.5503,-0.3358,-6.0596,0.2939,10.9003,0.3087,9.7687,-0.1096,-13.8586,0.1974,7.5821,0.0202,44.1386,0.4412,5.4415,-0.3829,-3.1768,-0.5014,-3.6444,0.2397,12.7693,-0.0609,-30.8867,-0.2675,-3.225,0.0044,229.0682,0.0114,76.7719,-0.0325,-38.6708,1.5171,3.2531,0.4123,10.8848,2.5382,2.9022,1.1146,5.4522,0.364,9.7827,0.8816,3.5398,0.6018,3.3559,1.4412,3.3396,0.458,6.8395,-0.2967,-8.9174,0.6142,5.2721,0.0492,61.939,7.4413,2.2846,5.6994,3.6661,12.5674,2.0927,5.5745,3.2666,0.3051,0.0705,0.2829,0.0792,0.7935,0.1206,0.8321,0.0965,0.3917,0.1034,0.4654,0.0514,0.3712,0.0757,0.2961,0.0432,0.1963,0.3196,0.2602,0.1412,0.0575,0.2746,0.3549,0.2293,0.0988,0.0319,0.0878,0.2136,0.2598,0.2107,0.1281,0.12,0.2545,0.2697,0.1906,0.101,1.7464,1.4826,2.5358,2.2194,179.1156,0.5267,150.383,0.29,30.21,24.84,25.47,35.47,26.32,36.84,57.89,36.84,36.84,47.37,57.89,52.63,36.84,47.37,57.89,52.63,73.68,63.16,84.21,73.68,15.79,26.32,68.42,42.11,31.58,57.89,94.74,100.0,5.26,15.79,78.95,68.42,21.05,31.58,0.0,10.53,21.05,31.58
4,INDIA - ISL,2025-01-03,15:00,North East Utd,Mohammedan,1.55,4.33,5.25,1.29,3.5,1.17,5.0,1.57,2.35,1.67,2.1,0.6451612903225806,0.23094688221709006,0.19047619047619047,0.7752,0.2857,0.8547,0.2,0.6369,0.4255,0.5988,0.4762,0.358,0.2952,2.7935,0.8248,3.3871,1.2125,3.7,2.78,0.92,61.607,54.2678,24.7024,0.7048,0.642,0.1752,0.5779,Unbalanced Game,1.24,1.0823,0.531,2.087,0.1648,-0.84,1.6917,0.7331,0.5798,1.3123,1.5269,0.6663,1.4197,0.5777,5.5277,0.0642,2.6475,0.1797,5.3884,0.2978,7.1268,0.094,1.0445,0.0668,0.4437,0.0994,0.8866,0.1788,0.7858,0.1077,1.4822,4.4313,1.1403,2.454,1.163,3.5507,0.854,7.6119,0.8526,3.9307,-0.1316,-6.0532,0.4825,5.5517,2.8597,1.8289,-0.0415,-64.547,0.4543,3.8015,0.4305,6.3303,0.5027,7.8707,-0.0982,-11.7994,-0.0789,-12.1825,0.1667,10.9268,1.386,1.8801,2.2764,3.8777,2.1134,1.8023,1.4094,4.4867,7.2812,1.3117,1.2544,3.3435,0.1053,14.0304,1.079,3.9449,4.6228,1.5599,0.1931,16.5904,0.7185,3.0884,0.3554,9.785,3.106,1.4807,7.1172,2.9566,19.4368,1.182,7.6405,2.9425,27.6456,1.0863,0.3167,0.0445,0.2304,0.1168,0.696,0.0345,0.3101,0.0487,0.4647,0.0508,0.4876,0.0416,0.3522,0.0772,0.2559,0.0375,0.1842,0.3116,0.2636,0.1486,0.0629,0.56,0.3247,0.0941,0.0182,0.0026,0.2172,0.3317,0.2532,0.1289,0.0492,0.2418,0.3433,0.2437,0.1153,0.0409,1.7765,0.631,1.4607,1.3152,196.0695,0.3353,81.4613,1.1879,33.05,23.47,30.68,45.84,42.11,21.05,36.84,26.32,52.63,31.58,47.37,63.16,52.63,31.58,47.37,63.16,68.42,42.11,78.95,47.37,21.05,52.63,57.89,26.32,42.11,73.68,100.0,94.74,5.26,42.11,63.16,31.58,36.84,68.42,26.32,5.26,36.84,15.79
5,TURKEY - SUPER LIG,2025-01-03,18:00,Alanyaspor,Konyaspor,1.95,3.25,3.8,1.44,2.63,1.3,3.4,2.05,1.75,1.83,1.83,0.5128205128205129,0.3076923076923077,0.2631578947368421,0.6944,0.3802,0.7692,0.2941,0.4878,0.5714,0.5464,0.5464,0.6,0.5132,1.6667,0.8553,1.9487,1.1692,1.85,1.3,0.55,42.7688,33.0239,15.3763,0.4868,0.4,0.1447,0.301,Unbalanced Game,1.4503,0.8066,0.9513,1.333,-0.0223,-1.0567,1.4401,0.9603,0.8981,1.0147,1.4624,0.7055,1.9549,0.8868,3.4311,0.0794,3.7447,0.0639,3.5103,0.1492,9.9093,0.0822,1.0502,0.0861,0.6102,0.1113,0.8397,0.0579,0.9786,0.0615,1.0462,3.1097,1.0312,2.7328,0.9795,2.459,0.8004,4.0127,1.1228,2.64,0.5614,3.1265,0.3377,5.8605,0.2732,4.4868,0.7326,3.7476,0.672,3.2467,0.5665,3.2872,0.6826,3.8418,0.7807,3.1992,0.5526,2.8596,0.2061,7.0607,0.3258,3.3505,3.6496,1.8619,2.9482,1.8643,2.6087,2.0902,4.3352,1.6262,3.307,1.9099,1.7895,2.2858,1.7061,2.6979,1.317,2.2156,1.6171,2.3123,1.2592,2.6645,0.5211,5.398,1.927,2.1415,18.314,1.5004,16.5239,1.4222,15.4179,1.5275,23.2553,1.3087,0.3302,0.1984,0.2856,0.4384,0.5755,0.224,0.4817,0.5059,0.4577,0.2862,0.514,0.3934,0.4688,0.1209,0.273,0.2044,0.2369,0.3412,0.2457,0.1179,0.0425,0.4073,0.3658,0.1643,0.0492,0.011,0.2317,0.3388,0.2477,0.1208,0.0442,0.1416,0.2768,0.2705,0.1763,0.0862,1.4943,0.9704,1.0733,1.7072,168.3303,0.3753,124.765,0.3072,38.74,23.21,44.79,31.32,42.11,31.58,15.79,31.58,52.63,36.84,42.11,52.63,52.63,36.84,42.11,52.63,73.68,42.11,57.89,63.16,42.11,36.84,36.84,36.84,63.16,63.16,94.74,89.47,15.79,26.32,52.63,36.84,47.37,63.16,42.11,26.32,36.84,26.32
6,TURKEY - SUPER LIG,2025-01-03,18:00,Rizespor,Besiktas,2.55,3.4,2.45,1.36,3.0,1.25,3.75,1.83,2.03,1.62,2.2,0.3921568627450981,0.29411764705882354,0.4081632653061224,0.7353,0.3333,0.8,0.2667,0.5464,0.4926,0.6173,0.4545,0.75,1.0408,1.3333,1.3878,0.9608,0.7206,0.1,0.85,0.95,-2.8624,23.0255,-25.4077,0.0408,0.25,0.3878,0.1382,Balanced Game,1.4968,0.9067,0.824,1.4013,-0.0774,-0.5856,1.403,1.0442,0.845,0.9578,1.4804,0.9787,1.4305,0.867,3.3595,0.0551,2.6894,0.2224,3.7203,0.2189,4.4857,0.484,1.0203,0.1374,0.6525,0.2208,0.7834,0.0768,0.8367,0.2469,1.6389,2.2849,2.5564,1.3812,1.5354,2.1909,1.4022,2.3514,0.5509,5.1815,1.7632,1.7284,1.2377,2.1281,0.6316,2.7435,1.0814,2.606,1.2954,1.7916,0.5067,5.1512,1.684,2.0855,0.3053,5.2987,1.0088,1.9224,0.564,2.35,0.6579,2.6726,4.7178,1.6925,5.7832,1.104,3.8372,1.657,8.4459,1.0642,1.7351,3.6384,3.9737,1.4867,2.5535,1.8951,2.3158,1.8939,1.1357,3.3579,2.3608,1.7308,0.8445,3.3687,3.3989,1.2125,20.5758,1.3378,28.1098,0.9945,17.7411,1.381,27.5485,0.9235,0.2592,0.2272,0.3078,0.038,0.598,0.1987,0.6782,0.0357,0.5587,0.1738,0.5061,0.0512,0.4616,0.0652,0.4102,0.0312,0.2459,0.3449,0.242,0.1132,0.0397,0.4296,0.363,0.1534,0.0432,0.0091,0.2275,0.3369,0.2493,0.123,0.0455,0.2392,0.3422,0.2447,0.1167,0.0417,1.517,0.6383,1.0432,1.0067,160.466,0.4945,134.405,0.3221,28.84,34.16,20.47,23.11,31.58,26.32,31.58,47.37,47.37,42.11,42.11,47.37,47.37,42.11,42.11,47.37,36.84,47.37,63.16,73.68,36.84,26.32,31.58,21.05,68.42,78.95,89.47,89.47,31.58,21.05,57.89,36.84,42.11,63.16,36.84,21.05,52.63,21.05
7,TURKEY - 1. LIG,2025-01-03,18:00,Kocaelispor,Igdir FK,1.73,3.6,4.2,1.44,2.63,1.33,3.25,2.08,1.73,2.0,1.73,0.5780346820809249,0.2777777777777778,0.23809523809523808,0.6944,0.3802,0.7519,0.3077,0.4808,0.578,0.5,0.578,0.4806,0.4119,2.0809,0.8571,2.4277,1.1667,2.47,1.87,0.6,51.0023,43.0761,16.6992,0.5881,0.5194,0.1429,0.4162,Unbalanced Game,1.8258,0.7433,,,0.2091,,1.5154,0.6303,,,1.3063,0.6877,,,2.757,0.1641,,,2.2969,0.2019,,,0.9737,0.0535,,,0.8684,0.0633,,,0.7812,4.2512,,,0.3566,4.7566,,,0.5965,2.9026,,,0.0088,154.7045,,,0.8537,3.7009,,,0.8644,2.5303,,,0.9912,2.4918,,,0.2719,7.0401,,,2.7694,2.3382,,,0.9317,3.6105,,,2.1754,1.8994,,,0.7193,3.8323,,,0.8732,3.8374,,,0.4424,6.1017,,,16.7157,1.7748,,,12.1876,1.7829,,,0.3291,0.0456,,,0.4887,0.0372,,,0.4873,0.0152,,,0.579,0.087,,,0.2197,0.333,0.2523,0.1274,0.0483,,,,,,0.2708,0.3538,0.2311,0.1006,0.0329,,,,,,1.1722,,0.9616,,201.9044,0.3014,,,38.95,,37.74,,31.58,,15.79,,52.63,,42.11,,52.63,,42.11,,57.89,,47.37,,52.63,,15.79,,84.21,,94.74,,26.32,,57.89,,42.11,,21.05,,52.63,
8,PORTUGAL - LIGA PORTUGAL,2025-01-03,19:00,Nacional,FC Porto,9.5,5.25,1.3,1.3,3.4,1.2,4.33,1.65,2.2,2.0,1.75,0.10526315789473684,0.19047619047619047,0.7692307692307692,0.7692,0.2941,0.8333,0.2309,0.6061,0.4545,0.5,0.5714,1.8095,7.3077,0.5526,4.0385,0.1368,0.2476,8.2,4.25,3.95,-76.293,-64.7989,-63.1456,6.3077,0.8095,3.0385,0.8309,Unbalanced Game,1.9041,0.5862,0.9485,1.4646,-0.2663,-0.4942,1.4165,1.0229,1.2183,1.0541,1.6828,0.8741,1.7125,0.6975,3.6498,0.0495,2.7668,0.0905,5.2632,0.3703,3.7764,0.1233,1.234,0.076,1.1665,0.0453,0.7603,0.0591,0.9297,0.1256,2.2532,1.4794,2.4465,1.6058,0.302,10.1096,1.3759,1.8366,0.2904,6.176,1.0509,2.2034,-0.2456,-3.1535,0.2061,5.5284,2.2027,1.3557,1.6621,1.9164,-0.4951,-6.2818,1.7295,1.6895,0.3693,5.4406,0.8018,2.1322,-0.2193,-3.7063,0.3816,3.4722,6.7868,1.1114,5.8973,1.4031,8.0818,0.9889,5.4157,1.0378,1.5009,2.8944,2.9947,1.7359,0.0439,35.3394,1.1228,2.1776,2.3593,1.3617,1.9397,1.6331,2.036,1.4233,1.5036,1.7581,24.1419,0.945,29.5883,0.997,30.9437,0.8684,26.2223,0.9121,0.2079,0.0616,0.2866,0.1106,0.5575,0.0377,0.6008,0.036,0.5341,0.0275,0.4993,0.0186,0.5732,0.0457,0.5963,0.0361,0.2426,0.3436,0.2433,0.1149,0.0407,0.2957,0.3603,0.2195,0.0891,0.0271,0.1859,0.3128,0.2632,0.1476,0.0621,0.1804,0.309,0.2645,0.151,0.0647,2.368,1.6386,1.4206,1.165,156.8956,0.442,151.4931,0.2756,37.68,28.84,27.42,30.74,52.63,47.37,21.05,26.32,63.16,63.16,26.32,36.84,63.16,63.16,26.32,36.84,47.37,52.63,68.42,73.68,31.58,26.32,15.79,47.37,84.21,52.63,94.74,100.0,26.32,10.53,47.37,57.89,52.63,42.11,47.37,31.58,73.68,42.11
9,FRANCE - LIGUE 2,2025-01-03,20:00,AC Ajaccio,Annecy,3.0,3.0,2.45,1.57,2.25,1.5,2.5,2.5,1.5,2.1,1.67,0.3333333333333333,0.3333333333333333,0.4081632653061224,0.6369,0.4444,0.6667,0.4,0.4,0.6667,0.4762,0.5988,1.0,1.2245,1.0,1.2245,0.8167,0.8167,0.55,0.0,0.55,-15.3763,0.0,-15.3763,0.2245,0.0,0.2245,0.0985,Super Balanced Game,1.7928,0.7264,1.2064,1.0645,0.6044,0.102,1.2241,0.7123,1.5771,0.7433,0.6197,1.3234,1.4752,0.9098,3.2205,0.1849,6.5174,0.1897,1.6632,0.7909,5.9089,0.0416,0.8317,0.1586,0.9039,0.1392,0.5422,0.1376,0.825,0.0496,0.9633,3.3633,0.9658,3.182,0.4821,4.9071,0.7237,4.8791,0.5351,3.6569,0.5132,3.1951,0.114,11.5325,0.4605,4.8295,0.7254,3.5059,0.8875,2.8914,0.159,13.6799,0.8814,4.7963,0.3509,4.5691,0.4868,3.2531,0.3246,5.5946,0.3447,5.0615,3.7643,1.9946,3.1756,1.846,2.2094,2.1549,4.7928,1.6551,1.693,2.3375,1.6184,2.0526,1.0614,3.233,1.5395,2.5905,0.8145,3.4739,0.2757,6.9289,0.6485,3.7881,1.1865,2.6691,14.0194,1.8116,15.3278,1.4947,17.7381,1.6702,21.0271,1.3957,0.3206,0.0331,0.3326,0.0655,0.2056,0.178,0.4392,0.0387,0.4982,0.0448,0.4991,0.0198,0.4003,0.0642,0.2815,0.0259,0.294,0.3599,0.2203,0.0899,0.0275,0.2066,0.3258,0.2569,0.1351,0.0532,0.5381,0.3335,0.1033,0.0213,0.0033,0.2287,0.3374,0.2489,0.1224,0.0451,1.4134,1.626,0.8344,1.4682,192.3106,0.3364,136.457,0.5324,34.16,29.42,19.16,32.26,36.84,42.11,26.32,10.53,57.89,57.89,26.32,26.32,57.89,57.89,26.32,26.32,42.11,63.16,68.42,57.89,31.58,42.11,31.58,42.11,68.42,57.89,89.47,89.47,31.58,21.05,31.58,57.89,68.42,42.11,26.32,21.05,52.63,31.58
10,FRANCE - LIGUE 2,2025-01-03,20:00,Amiens,Troyes,2.25,3.25,3.1,1.44,2.63,1.36,3.0,2.15,1.67,1.83,1.83,0.4444444444444444,0.3076923076923077,0.3225806451612903,0.6944,0.3802,0.7353,0.3333,0.4651,0.5988,0.5464,0.5464,0.6923,0.7258,1.4444,1.0484,1.3778,0.9538,0.85,1.0,0.15,23.0255,26.5651,-4.2892,0.2742,0.3077,0.0484,0.171,Balanced Game,1.6022,0.7301,0.9207,1.2787,0.3693,-0.6822,0.9566,0.9526,0.5821,1.4271,0.5872,1.3966,1.2642,1.1055,2.4274,0.055,2.291,0.3913,1.4832,0.3534,5.3967,0.1549,0.7401,0.0405,0.4451,0.1263,0.5558,0.1797,0.7345,0.1415,0.7009,3.4242,0.612,4.2959,2.2927,1.836,0.6461,5.5377,0.3509,4.503,0.2193,5.8655,0.5877,4.164,0.4105,4.7467,1.8267,2.4475,0.9709,3.4143,1.0527,2.7509,0.4153,6.4842,1.3684,2.4355,0.9035,3.2323,0.2719,5.8124,0.1605,7.924,5.0969,1.8291,3.6184,1.9963,4.6557,1.6221,4.1427,1.8574,3.4298,2.1258,2.0088,2.8323,1.4825,3.0483,1.2789,2.8535,1.6938,2.3021,1.2769,2.6903,1.4211,2.5791,0.9576,3.004,14.8437,1.6895,14.6069,1.5519,19.8556,1.4187,19.7499,1.5254,0.365,0.051,0.3099,0.0897,0.3703,0.0716,0.4504,0.1059,0.5408,0.0203,0.4913,0.0112,0.4275,0.0304,0.2586,0.0518,0.3842,0.3675,0.1758,0.0561,0.0134,0.5587,0.3252,0.0947,0.0184,0.0027,0.5559,0.3264,0.0958,0.0188,0.0028,0.2825,0.3571,0.2257,0.0951,0.0301,1.0151,0.7364,0.6465,1.3152,155.8387,0.4888,122.7703,0.5403,29.05,18.47,25.95,28.37,42.11,36.84,21.05,26.32,52.63,42.11,26.32,36.84,52.63,42.11,26.32,36.84,47.37,31.58,63.16,63.16,36.84,36.84,21.05,10.53,78.95,89.47,78.95,78.95,47.37,47.37,26.32,36.84,73.68,63.16,36.84,36.84,36.84,21.05
