Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,CV_Match_Odds,CV_Match_Type,Media_Ptos_Home,CV_Media_Ptos_Home,Media_Ptos_Away,CV_Media_Ptos_Away,Media_Saldo_Golos_Home_HT,Media_Saldo_Golos_Away_HT,Media_Golos_Marcados_Home_HT,CV_Media_Golos_Marcados_Home_HT,Media_Golos_Marcados_Away_HT,CV_Media_Golos_Marcados_Away_HT,Media_Golos_Sofridos_Home_HT,CV_Media_Golos_Sofridos_Home_HT,Media_Golos_Sofridos_Away_HT,CV_Media_Golos_Sofridos_Away_HT,Media_Saldo_Golos_Home,Media_Saldo_Golos_Away,Media_Golos_Marcados_Home,CV_Media_Golos_Marcados_Home,Media_Golos_Marcados_Away,CV_Media_Golos_Marcados_Away,Media_Golos_Sofridos_Home,CV_Media_Golos_Sofridos_Home,Media_Golos_Sofridos_Away,CV_Media_Golos_Sofridos_Away,Media_CG_01_Marcados_Home,CV_Media_CG_01_Marcados_Home,Media_CG_01_Marcados_Away,CV_Media_CG_01_Marcados_Away,Media_CG_01_Sofridos_Home,CV_Media_CG_01_Sofridos_Home,Media_CG_01_Sofridos_Away,CV_Media_CG_01_Sofridos_Away,Media_CG_02_Marcados_Home,CV_Media_CG_02_Marcados_Home,Media_CG_02_Marcados_Away,CV_Media_CG_02_Marcados_Away,Media_CG_02_Sofridos_Home,CV_Media_CG_02_Sofridos_Home,Media_CG_02_Sofridos_Away,CV_Media_CG_02_Sofridos_Away,Media_Shots_Home,CV_Media_Shots_Home,Media_Shots_Away,CV_Media_Shots_Away,Media_Shots_Against_Home,CV_Media_Shots_Against_Home,Media_Shots_Against_Away,CV_Media_Shots_Against_Away,Media_Shots_per_Goal_Home,CV_Media_Shots_per_Goal_Home,Media_Shots_per_Goal_Away,CV_Media_Shots_per_Goal_Away,Media_Shots_per_Goal_Against_Home,CV_Media_Shots_per_Goal_Against_Home,Media_Shots_per_Goal_Against_Away,CV_Media_Shots_per_Goal_Against_Away,Media_Shots_On_Target_Home,CV_Media_Shots_On_Target_Home,Media_Shots_On_Target_Away,CV_Media_Shots_On_Target_Away,Media_Shots_On_Target_Against_Home,CV_Media_Shots_On_Target_Against_Home,Media_Shots_On_Target_Against_Away,CV_Media_Shots_On_Target_Against_Away,Media_Shots_On_Target_per_Goal_Home,CV_Media_Shots_On_Target_per_Goal_Home,Media_Shots_On_Target_per_Goal_Away,CV_Media_Shots_On_Target_per_Goal_Away,Media_Shots_On_Target_per_Goal_Against_Home,CV_Media_Shots_On_Target_per_Goal_Against_Home,Media_Shots_On_Target_per_Goal_Against_Away,CV_Media_Shots_On_Target_per_Goal_Against_Away,Media_Goal_Attempts_Home,CV_Media_Goal_Attempts_Home,Media_Goal_Attempts_Away,CV_Media_Goal_Attempts_Away,Media_Goal_Attempts_Against_Home,CV_Media_Goal_Attempts_Against_Home,Media_Goal_Attempts_Against_Away,CV_Media_Goal_Attempts_Against_Away,Media_Goal_Attempts_per_Goal_Home,CV_Media_Goal_Attempts_per_Goal_Home,Media_Goal_Attempts_per_Goal_Away,CV_Media_Goal_Attempts_per_Goal_Away,Media_Goal_Attempts_per_Goal_Against_Home,CV_Media_Goal_Attempts_per_Goal_Against_Home,Media_Goal_Attempts_per_Goal_Against_Away,CV_Media_Goal_Attempts_per_Goal_Against_Away,Media_Corners_Home,CV_Media_Corners_Home,Media_Corners_Away,CV_Media_Corners_Away,Media_Corners_Against_Home,CV_Media_Corners_Against_Home,Media_Corners_Against_Away,CV_Media_Corners_Against_Away,Media_Ball_Possession_Home,CV_Media_Ball_Possession_Home,Media_Ball_Possession_Away,CV_Media_Ball_Possession_Away,Media_Ball_Possession_Against_Home,CV_Media_Ball_Possession_Against_Home,Media_Ball_Possession_Against_Away,CV_Media_Ball_Possession_Against_Away,Media_RPS_MO_Home,CV_Media_RPS_MO_Home,Media_RPS_MO_Away,CV_Media_RPS_MO_Away,Media_RPS_OvUn_Home,CV_Media_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_Media_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_Media_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_Media_RPS_BTTS_Away,Media_Prob_Home,CV_Media_Prob_Home,Media_Prob_Away,CV_Media_Prob_Away,Poisson_0_GM_Home,Poisson_1_GM_Home,Poisson_2_GM_Home,Poisson_3_GM_Home,Poisson_4_GM_Home,Poisson_0_GM_Away,Poisson_1_GM_Away,Poisson_2_GM_Away,Poisson_3_GM_Away,Poisson_4_GM_Away,Poisson_0_GS_Home,Poisson_1_GS_Home,Poisson_2_GS_Home,Poisson_3_GS_Home,Poisson_4_GS_Home,Poisson_0_GS_Away,Poisson_1_GS_Away,Poisson_2_GS_Away,Poisson_3_GS_Away,Poisson_4_GS_Away,Probabilidade_Goals_Scored_Home,Probabilidade_Goals_Scored_Away,Probabilidade_Goals_Taken_Home,Probabilidade_Goals_Taken_Away,Media_Power_Ranking_Home,CV_Media_Power_Ranking_Home,Media_Power_Ranking_Away,CV_Media_Power_Ranking_Away,Media_First_Goal_Home,Media_First_Goal_Away,Media_First_Goal_Taken_Home,Media_First_Goal_Taken_Away,Perc_Scored_1_Goal_1st_Half_Home,Perc_Scored_1_Goal_1st_Half_Away,Perc_Took_1_Goal_1st_Half_Home,Perc_Took_1_Goal_1st_Half_Away,Perc_Scored_1_Goal_FT_Home,Perc_Scored_1_Goal_FT_Away,Perc_Took_1_Goal_FT_Home,Perc_Took_1_Goal_FT_Away,Perc_Scored_at_least_1_Goal_Home,Perc_Scored_at_least_1_Goal_Away,Perc_Took_at_least_1_Goal_Home,Perc_Took_at_least_1_Goal_Away,Perc_of_Games_BTTS_Yes_Home,Perc_of_Games_BTTS_Yes_Away,Perc_Over_05_HT_Home,Perc_Over_05_HT_Away,Perc_Under_05_HT_Home,Perc_Under_05_HT_Away,Perc_Over_15_HT_Home,Perc_Over_15_HT_Away,Perc_Under_15_HT_Home,Perc_Under_15_HT_Away,Perc_Over_15_FT_Home,Perc_Over_15_FT_Away,Perc_Under_15_FT_Home,Perc_Under_15_FT_Away,Perc_Over_25_FT_Home,Perc_Over_25_FT_Away,Perc_Under_25_FT_Home,Perc_Under_25_FT_Away,Perc_Wins_HT_Home,Perc_Wins_HT_Away,Perc_Wins_FT_Home,Perc_Wins_FT_Away
1,INDIA - ISL,2025-01-09,15:00,Chennaiyin,Odisha FC,2.2,3.8,2.8,1.3,3.4,1.17,5.0,1.57,2.35,1.53,2.38,0.45454545454545453,0.2631578947368421,0.35714285714285715,0.7692,0.2941,0.8547,0.2,0.6369,0.4255,0.6536,0.4202,0.5789,0.7857,1.7273,1.3571,1.2727,0.7368,0.6,1.6,1.0,16.6992,38.6598,-26.5651,0.2143,0.4211,0.3571,0.2181,Balanced Game,1.4984,0.9229,0.8303,1.5273,-0.1745,-0.3253,0.4054,1.905,0.6467,1.1587,0.5799,1.2014,0.6706,1.2387,-0.0755,-0.3253,1.3292,1.0146,1.2432,1.1784,1.4046,0.714,1.5684,0.7149,3.0148,0.0701,3.3884,0.1802,3.1611,0.4019,4.2468,0.2567,0.9794,0.0949,0.9178,0.045,0.9005,0.1586,0.9178,0.1241,2.0843,3.2277,0.5127,6.4137,1.5987,2.4781,1.3205,3.7212,0.95,3.5584,0.6053,4.2914,0.6316,3.8648,0.8597,3.67,0.1502,14.0819,0.0997,27.2156,0.2775,7.9297,0.4772,6.1817,0.0553,22.4702,0.0526,23.8308,0.2368,6.8974,0.2193,6.4341,2.9887,2.7547,1.4064,3.7352,2.0385,2.76,2.5408,2.8629,1.3447,3.1171,1.0351,3.2362,1.2895,2.8929,1.3509,3.2313,0.4439,7.0126,0.1704,15.598,0.4386,6.7706,0.5936,5.5932,9.5816,2.1774,10.9638,2.3009,13.4825,1.9423,8.0556,2.2625,0.3086,0.0791,0.2869,0.039,0.6668,0.0228,0.6626,0.0474,0.4749,0.0341,0.4786,0.0439,0.4852,0.074,0.4145,0.1028,0.2647,0.3518,0.2338,0.1036,0.0344,0.2885,0.3586,0.2229,0.0924,0.0287,0.2455,0.3448,0.2421,0.1134,0.0398,0.2084,0.3268,0.2563,0.134,0.0525,1.5742,1.4908,1.4164,1.4908,75.097,0.9308,57.7929,1.0841,27.0,26.05,38.74,23.95,31.58,47.37,31.58,36.84,47.37,52.63,52.63,36.84,47.37,52.63,52.63,36.84,52.63,52.63,63.16,84.21,36.84,15.79,26.32,42.11,73.68,57.89,100.0,89.47,21.05,21.05,47.37,63.16,52.63,36.84,26.32,36.84,47.37,26.32
2,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-01-09,15:45,Al Fateh,Al Wehda,2.3,3.5,2.75,1.33,3.25,1.22,4.0,1.7,2.1,1.62,2.2,0.4347826086956522,0.2857142857142857,0.36363636363636365,0.7519,0.3077,0.8197,0.25,0.5882,0.4762,0.6173,0.4545,0.6571,0.8364,1.5217,1.2727,1.1957,0.7857,0.45,1.2,0.75,12.6804,30.9638,-20.556,0.1636,0.3429,0.2727,0.1685,Balanced Game,1.0752,1.1556,0.4637,2.4069,-0.1462,-1.9245,0.4223,1.9837,0.2723,1.6614,0.5685,1.0762,1.135,0.9287,-0.3125,-1.9245,1.1092,0.9428,0.6992,1.126,1.4217,0.7887,2.6237,0.721,2.8105,0.1989,3.1114,0.0776,3.5621,0.1797,15.5878,0.0396,0.8653,0.0943,0.5322,0.0759,0.9443,0.0705,1.3217,0.0631,0.5873,4.1463,0.3715,6.5483,0.4978,5.9158,-0.1016,-28.0719,0.7588,2.6763,0.3421,5.5346,0.1711,9.1122,-0.0274,-50.4599,0.8751,3.355,0.6685,4.524,1.0904,3.2534,-0.0728,-49.5385,0.9956,2.5176,0.5526,4.2856,0.3947,4.6126,-0.0287,-45.2718,3.5239,1.922,2.3827,2.7252,4.0538,1.8245,3.5813,2.0186,3.2588,1.8738,1.6579,3.0277,1.5921,2.4824,0.6655,4.3892,0.7136,3.3152,0.3615,6.7295,0.8852,3.7137,0.4796,4.8782,17.3024,1.4568,9.8892,1.8228,16.9754,1.4105,14.9504,1.6777,0.3512,0.0353,0.2247,0.1064,0.6577,0.0306,0.6906,0.0741,0.4895,0.0223,0.4983,0.0291,0.4675,0.0366,0.275,0.0495,0.3298,0.3658,0.2029,0.075,0.0208,0.497,0.3475,0.1215,0.0283,0.0049,0.2413,0.3431,0.2439,0.1156,0.0411,0.0725,0.1903,0.2497,0.2183,0.1432,1.2862,0.9591,1.4442,2.5381,49.6265,1.2456,-15.3913,-7.7197,32.79,27.53,38.84,36.68,31.58,26.32,36.84,57.89,47.37,36.84,47.37,63.16,47.37,36.84,47.37,63.16,68.42,57.89,68.42,78.95,31.58,21.05,26.32,26.32,73.68,73.68,94.74,94.74,26.32,21.05,47.37,57.89,52.63,42.11,31.58,10.53,26.32,15.79
3,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-01-09,16:00,Al Riyadh,Al Khaleej,2.6,3.3,2.5,1.44,2.63,1.3,3.4,2.0,1.8,1.8,1.91,0.3846153846153846,0.30303030303030304,0.4,0.6944,0.3802,0.7692,0.2941,0.5,0.5556,0.5556,0.5236,0.7879,1.04,1.2692,1.32,0.9615,0.7576,0.1,0.7,0.8,-2.8624,19.29,-21.8014,0.04,0.2121,0.32,0.1174,Balanced Game,1.1482,1.0573,1.128,1.2647,-0.0722,-0.58,0.4253,1.4044,0.5109,1.0041,0.4975,1.0312,0.5569,1.0986,-0.3493,-0.58,1.0044,0.878,0.8951,0.9122,1.3537,0.7322,1.4751,0.8706,5.6892,0.155,3.6385,0.1588,9.52,0.1194,8.109,0.0533,0.623,0.0737,0.6467,0.1163,0.7546,0.0398,0.7783,0.1036,0.5027,4.6342,0.1355,16.9683,0.012,226.3,0.5316,7.1623,-0.3684,-1.9639,-0.0702,-17.0712,0.6404,3.2636,0.2982,5.5074,0.3048,7.7776,0.3372,9.704,0.1256,31.578,0.2122,12.5047,-0.2281,-4.9329,0.2193,8.6174,1.2895,2.677,0.2982,5.4359,2.0676,2.3354,1.9135,2.9882,4.3416,1.8335,2.9946,2.512,0.0088,204.3182,0.9211,3.477,2.9386,2.0899,1.4035,2.9018,0.4125,5.3505,0.0098,220.1531,1.5053,2.5719,0.3625,6.7768,9.6583,1.7056,9.6001,2.1334,19.3838,1.56,13.7443,1.9181,0.3894,0.0573,0.2613,0.0616,0.6606,0.0374,0.5944,0.034,0.5092,0.0147,0.469,0.0222,0.2461,0.0723,0.2934,0.0518,0.3663,0.3679,0.1847,0.0619,0.0155,0.4086,0.3657,0.1637,0.0488,0.0109,0.2583,0.3496,0.2367,0.1068,0.0361,0.2288,0.3374,0.2489,0.1224,0.0451,0.9234,1.0661,1.1866,1.3293,-21.7668,-6.3746,37.5245,2.4191,33.16,28.68,33.21,28.95,26.32,36.84,47.37,42.11,36.84,47.37,52.63,47.37,36.84,47.37,52.63,47.37,57.89,47.37,73.68,78.95,26.32,21.05,10.53,15.79,89.47,84.21,89.47,94.74,36.84,42.11,47.37,36.84,52.63,63.16,26.32,36.84,26.32,42.11
4,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-01-09,18:00,Al Nassr,Al Okhdood,1.27,6.0,7.0,1.25,3.75,1.14,5.0,1.5,2.5,1.91,1.8,0.7874015748031495,0.16666666666666666,0.14285714285714285,0.8,0.2667,0.8772,0.2,0.6667,0.4,0.5236,0.5556,0.2117,0.1814,4.7244,0.8571,5.5118,1.1667,5.73,4.73,1.0,70.759,67.0798,26.5651,0.8186,0.7883,0.1429,0.8161,Unbalanced Game,1.6962,0.6882,0.6238,1.7595,0.6849,-1.0508,0.9522,0.9434,0.2745,2.1217,0.2673,1.7868,0.8616,1.0426,0.811,-1.0508,1.9759,0.7604,0.812,1.3549,1.1649,0.9001,1.8629,0.5892,3.1737,0.055,3.1368,0.0948,1.5358,0.1132,9.4281,0.2019,1.6867,0.0625,0.5861,0.0793,0.9499,0.0974,1.0072,0.0393,2.1276,2.2783,1.1408,3.2524,1.351,2.0251,0.1162,23.7194,1.7746,2.2565,0.7105,4.0038,0.2061,10.0102,0.6053,3.5396,1.3457,2.5369,0.7388,4.5083,1.2053,1.9618,0.2628,14.2881,1.1693,2.4389,0.4079,4.416,0.364,5.1764,1.0,3.2518,5.3231,1.8853,3.9319,2.1751,3.3711,1.4615,2.7948,2.4913,4.2833,2.0232,2.1579,3.0614,1.2061,3.0824,2.2983,2.6193,2.2871,1.9272,0.8025,4.2881,1.2111,1.9131,0.4446,5.6709,22.7437,1.3107,11.802,1.8793,17.5946,1.1146,13.6525,1.832,0.2425,0.1299,0.2621,0.0481,1.0162,0.0736,0.6212,0.0293,0.4272,0.1065,0.5129,0.0242,0.7945,0.0316,0.2775,0.0382,0.1386,0.2739,0.2706,0.1782,0.088,0.444,0.3605,0.1464,0.0396,0.008,0.312,0.3634,0.2117,0.0822,0.0239,0.1552,0.2892,0.2693,0.1673,0.0779,2.4805,0.6844,1.0069,1.5266,63.7903,1.2282,27.1116,3.6032,31.42,23.89,38.11,27.74,78.95,15.79,15.79,52.63,78.95,21.05,21.05,68.42,78.95,21.05,21.05,68.42,73.68,47.37,94.74,68.42,5.26,31.58,36.84,31.58,63.16,68.42,100.0,89.47,0.0,21.05,68.42,52.63,31.58,47.37,68.42,15.79,63.16,15.79
5,SCOTLAND - PREMIERSHIP,2025-01-09,21:00,Dundee FC,Rangers,8.5,5.75,1.3,1.25,3.75,1.14,5.5,1.44,2.75,1.75,2.0,0.11764705882352941,0.17391304347826086,0.7692307692307692,0.8,0.2667,0.8772,0.1818,0.6944,0.3636,0.5714,0.5,1.4783,6.5385,0.6765,4.4231,0.1529,0.2261,7.2,2.75,4.45,-74.4759,-53.9726,-65.799,5.5385,0.4783,3.4231,0.8337,Unbalanced Game,1.2016,1.1456,1.2339,1.0572,0.1032,-0.0028,0.8305,1.0539,0.8022,1.1158,0.7273,1.0085,0.7969,0.9548,0.0416,-0.0028,1.656,0.685,1.4751,0.7619,1.6144,0.6547,1.4779,0.7427,4.8101,0.1013,3.4075,0.0531,4.9639,0.1636,3.3691,0.1442,1.0948,0.1324,1.0185,0.1128,1.0422,0.0501,0.9132,0.065,1.0557,2.6427,3.3338,1.2923,3.5397,1.3333,2.5878,0.9137,0.4912,3.5446,2.0307,1.648,2.0175,1.6974,0.7632,2.2416,1.4771,2.1508,3.1043,1.2662,1.8428,1.6216,2.634,0.9751,0.7895,2.6431,1.9825,1.5129,0.9474,1.8948,0.8509,2.2842,4.794,1.5553,8.6034,1.0313,6.1021,1.68,7.9263,0.9329,2.4561,1.8481,5.2895,1.3599,4.8421,1.4273,3.2632,1.7966,1.5975,2.3037,2.3219,1.5186,1.4223,2.8441,3.157,1.1318,20.792,1.3555,33.7523,0.922,18.596,1.3848,29.5536,0.754,0.3326,0.0412,0.3752,0.1082,0.5453,0.0281,0.7012,0.029,0.4612,0.051,0.5148,0.0357,0.4002,0.1684,0.5632,0.0668,0.1909,0.3161,0.2618,0.1445,0.0598,0.2288,0.3374,0.2489,0.1224,0.0451,0.199,0.3213,0.2593,0.1396,0.0563,0.2281,0.3371,0.2491,0.1227,0.0453,1.867,1.3703,1.7618,1.1597,73.7893,1.455,70.8508,1.0025,34.79,29.0,31.05,27.79,42.11,36.84,47.37,36.84,47.37,42.11,47.37,47.37,47.37,42.11,47.37,47.37,78.95,57.89,89.47,73.68,10.53,26.32,42.11,36.84,57.89,63.16,94.74,89.47,10.53,26.32,78.95,63.16,21.05,36.84,36.84,31.58,36.84,36.84
