Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,CV_Match_Odds,CV_Match_Type,Media_Ptos_Home,CV_Media_Ptos_Home,Media_Ptos_Away,CV_Media_Ptos_Away,Media_Saldo_Golos_Home,Media_Saldo_Golos_Away,Media_Golos_Marcados_Home,CV_Media_Golos_Marcados_Home,Media_Golos_Marcados_Away,CV_Media_Golos_Marcados_Away,Media_Golos_Sofridos_Home,CV_Media_Golos_Sofridos_Home,Media_Golos_Sofridos_Away,CV_Media_Golos_Sofridos_Away,Media_CG_01_Marcados_Home,CV_Media_CG_01_Marcados_Home,Media_CG_01_Marcados_Away,CV_Media_CG_01_Marcados_Away,Media_CG_01_Sofridos_Home,CV_Media_CG_01_Sofridos_Home,Media_CG_01_Sofridos_Away,CV_Media_CG_01_Sofridos_Away,Media_CG_02_Marcados_Home,CV_Media_CG_02_Marcados_Home,Media_CG_02_Marcados_Away,CV_Media_CG_02_Marcados_Away,Media_CG_02_Sofridos_Home,CV_Media_CG_02_Sofridos_Home,Media_CG_02_Sofridos_Away,CV_Media_CG_02_Sofridos_Away,Media_Shots_Home,CV_Media_Shots_Home,Media_Shots_Away,CV_Media_Shots_Away,Media_Shots_Against_Home,CV_Media_Shots_Against_Home,Media_Shots_Against_Away,CV_Media_Shots_Against_Away,Media_Shots_per_Goal_Home,CV_Media_Shots_per_Goal_Home,Media_Shots_per_Goal_Away,CV_Media_Shots_per_Goal_Away,Media_Shots_per_Goal_Against_Home,CV_Media_Shots_per_Goal_Against_Home,Media_Shots_per_Goal_Against_Away,CV_Media_Shots_per_Goal_Against_Away,Media_Shots_On_Target_Home,CV_Media_Shots_On_Target_Home,Media_Shots_On_Target_Away,CV_Media_Shots_On_Target_Away,Media_Shots_On_Target_Against_Home,CV_Media_Shots_On_Target_Against_Home,Media_Shots_On_Target_Against_Away,CV_Media_Shots_On_Target_Against_Away,Media_Shots_On_Target_per_Goal_Home,CV_Media_Shots_On_Target_per_Goal_Home,Media_Shots_On_Target_per_Goal_Away,CV_Media_Shots_On_Target_per_Goal_Away,Media_Shots_On_Target_per_Goal_Against_Home,CV_Media_Shots_On_Target_per_Goal_Against_Home,Media_Shots_On_Target_per_Goal_Against_Away,CV_Media_Shots_On_Target_per_Goal_Against_Away,Media_Goal_Attempts_Home,CV_Media_Goal_Attempts_Home,Media_Goal_Attempts_Away,CV_Media_Goal_Attempts_Away,Media_Goal_Attempts_Against_Home,CV_Media_Goal_Attempts_Against_Home,Media_Goal_Attempts_Against_Away,CV_Media_Goal_Attempts_Against_Away,Media_Goal_Attempts_per_Goal_Home,CV_Media_Goal_Attempts_per_Goal_Home,Media_Goal_Attempts_per_Goal_Away,CV_Media_Goal_Attempts_per_Goal_Away,Media_Goal_Attempts_per_Goal_Against_Home,CV_Media_Goal_Attempts_per_Goal_Against_Home,Media_Goal_Attempts_per_Goal_Against_Away,CV_Media_Goal_Attempts_per_Goal_Against_Away,Media_Corners_Home,CV_Media_Corners_Home,Media_Corners_Away,CV_Media_Corners_Away,Media_Corners_Against_Home,CV_Media_Corners_Against_Home,Media_Corners_Against_Away,CV_Media_Corners_Against_Away,Media_Ball_Possession_Home,CV_Media_Ball_Possession_Home,Media_Ball_Possession_Away,CV_Media_Ball_Possession_Away,Media_Ball_Possession_Against_Home,CV_Media_Ball_Possession_Against_Home,Media_Ball_Possession_Against_Away,CV_Media_Ball_Possession_Against_Away,Media_RPS_MO_Home,CV_Media_RPS_MO_Home,Media_RPS_MO_Away,CV_Media_RPS_MO_Away,Media_RPS_OvUn_Home,CV_Media_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_Media_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_Media_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_Media_RPS_BTTS_Away,Media_Prob_Home,CV_Media_Prob_Home,Media_Prob_Away,CV_Media_Prob_Away,Poisson_0_GM_Home,Poisson_1_GM_Home,Poisson_2_GM_Home,Poisson_3_GM_Home,Poisson_4_GM_Home,Poisson_0_GM_Away,Poisson_1_GM_Away,Poisson_2_GM_Away,Poisson_3_GM_Away,Poisson_4_GM_Away,Poisson_0_GS_Home,Poisson_1_GS_Home,Poisson_2_GS_Home,Poisson_3_GS_Home,Poisson_4_GS_Home,Poisson_0_GS_Away,Poisson_1_GS_Away,Poisson_2_GS_Away,Poisson_3_GS_Away,Poisson_4_GS_Away,Probabilidade_Goals_Scored_Home,Probabilidade_Goals_Scored_Away,Probabilidade_Goals_Taken_Home,Probabilidade_Goals_Taken_Away,Media_Power_Ranking_Home,CV_Media_Power_Ranking_Home,Media_Power_Ranking_Away,CV_Media_Power_Ranking_Away,Media_First_Goal_Home,Media_First_Goal_Away,Media_First_Goal_Taken_Home,Media_First_Goal_Taken_Away,Perc_Scored_1_Goal_1st_Half_Home,Perc_Scored_1_Goal_1st_Half_Away,Perc_Took_1_Goal_1st_Half_Home,Perc_Took_1_Goal_1st_Half_Away,Perc_Scored_1_Goal_FT_Home,Perc_Scored_1_Goal_FT_Away,Perc_Took_1_Goal_FT_Home,Perc_Took_1_Goal_FT_Away,Perc_Scored_at_least_1_Goal_Home,Perc_Scored_at_least_1_Goal_Away,Perc_Took_at_least_1_Goal_Home,Perc_Took_at_least_1_Goal_Away,Perc_of_Games_BTTS_Yes_Home,Perc_of_Games_BTTS_Yes_Away,Perc_Over_05_HT_Home,Perc_Over_05_HT_Away,Perc_Under_05_HT_Home,Perc_Under_05_HT_Away,Perc_Over_15_HT_Home,Perc_Over_15_HT_Away,Perc_Under_15_HT_Home,Perc_Under_15_HT_Away,Perc_Over_15_FT_Home,Perc_Over_15_FT_Away,Perc_Under_15_FT_Home,Perc_Under_15_FT_Away,Perc_Over_25_FT_Home,Perc_Over_25_FT_Away,Perc_Under_25_FT_Home,Perc_Under_25_FT_Away,Perc_Wins_HT_Home,Perc_Wins_HT_Away,Perc_Wins_FT_Home,Perc_Wins_FT_Away
1,INDIA - ISL,2024-12-30,15:00,Mumbai City,North East Utd,1.65,3.75,4.2,1.33,3.25,1.2,4.33,1.67,2.15,1.67,2.1,0.6060606060606061,0.26666666666666666,0.23809523809523808,0.7519,0.3077,0.8333,0.2309,0.5988,0.4651,0.5988,0.4762,0.44,0.3929,2.2727,0.8929,2.5455,1.12,2.55,2.1,0.45,51.8924,46.3972,12.6804,0.6071,0.56,0.1071,0.4514,Unbalanced Game,1.9191,0.6786,0.838,1.2512,0.6432,-0.6198,1.5608,0.8095,1.562,0.6173,0.9176,0.9931,2.1818,0.6742,2.4553,0.0947,6.5402,0.0705,1.4937,0.1942,9.0167,0.3329,1.0844,0.0726,0.8871,0.1139,0.7949,0.0672,1.1765,0.087,1.5901,2.9372,1.3363,3.6477,1.8095,1.6889,1.2977,3.9257,0.7982,4.1904,0.7281,4.5135,0.0789,21.4766,1.1693,2.8004,0.2218,9.8368,0.68,4.3584,-0.0161,-109.5528,0.7743,4.9124,0.1535,9.2736,0.2456,6.4275,-0.2632,-3.4187,0.7395,3.2799,2.5554,2.4657,2.728,2.3972,1.4195,3.0284,4.073,2.0701,1.2719,3.6041,1.4035,2.9588,0.307,7.2844,2.2921,2.3808,0.882,3.9362,0.7478,3.8413,0.0477,40.6834,1.2518,2.9658,12.5937,1.9455,9.8281,1.8819,11.558,1.9348,17.5797,1.7361,0.3292,0.0641,0.3357,0.1254,0.6725,0.0712,0.6721,0.0478,0.4913,0.0236,0.4544,0.042,0.6425,0.033,0.3005,0.1008,0.21,0.3277,0.2558,0.1331,0.0519,0.2097,0.3276,0.2558,0.1332,0.052,0.3995,0.3666,0.1682,0.0514,0.0118,0.1128,0.2462,0.2686,0.1953,0.1065,1.5152,1.3197,0.9362,1.8985,184.6761,0.3296,118.9145,0.5284,29.26,34.16,35.58,35.05,36.84,42.11,21.05,36.84,57.89,63.16,31.58,36.84,57.89,63.16,31.58,36.84,52.63,73.68,57.89,78.95,42.11,21.05,26.32,42.11,73.68,57.89,89.47,100.0,26.32,15.79,47.37,57.89,52.63,42.11,31.58,31.58,52.63,15.79
2,EGYPT - PREMIER LEAGUE,2024-12-30,16:00,El Gouna,Pyramids,5.75,3.6,1.5,1.44,2.6,1.36,2.87,2.1,1.65,2.25,1.57,0.17391304347826086,0.2777777777777778,0.6666666666666666,0.6944,0.3846,0.7353,0.3484,0.4762,0.6061,0.4444,0.6369,1.5972,3.8333,0.6261,2.4,0.2609,0.4167,4.25,2.15,2.1,-64.7989,-47.07,-46.3972,2.8333,0.5972,1.4,0.5689,Unbalanced Game,1.109,1.0947,1.9026,0.6456,-0.4117,0.6947,0.864,1.084,1.6477,0.8406,1.2757,0.8371,0.953,1.0401,2.6917,0.1961,2.9542,0.1555,4.4254,0.1769,1.4694,0.283,0.6166,0.05,1.2289,0.1267,0.7482,0.0692,0.6763,0.071,-0.6179,-2.1112,0.2743,10.9369,-0.5505,-1.8218,-1.4793,-1.1777,-0.4386,-0.9991,-0.2386,-5.0319,-0.3816,-1.3527,0.2982,5.0872,-0.7037,-1.3442,-0.6147,-1.6315,-0.5367,-1.7624,-2.1637,-0.4635,-0.4386,-0.9991,-0.3965,-1.4608,-0.3289,-2.0903,0.0351,23.3476,-0.4203,-4.5705,0.5244,6.98,-0.4932,-3.2672,0.0242,97.9587,-0.4386,-0.9991,-0.1596,-9.604,-0.2763,-3.2045,0.5088,4.1999,-0.3515,-5.8498,-0.5538,-2.0896,-0.6049,-2.085,-0.4186,-3.408,3.4658,4.2245,7.1628,2.7296,4.6092,3.8553,4.6281,2.8115,0.3361,0.0372,0.2088,0.1796,0.3394,0.0298,0.4214,0.0617,0.4848,0.0212,0.4244,0.09,0.3386,0.0263,0.6158,0.0354,0.4215,0.3642,0.1573,0.0453,0.0098,0.1925,0.3172,0.2613,0.1435,0.0591,0.2792,0.3562,0.2272,0.0966,0.0308,0.3856,0.3675,0.1751,0.0556,0.0133,0.9302,1.9315,1.1934,0.8263,151.7705,0.3462,173.462,0.1537,23.16,33.84,28.47,12.26,36.84,36.84,31.58,31.58,36.84,63.16,42.11,36.84,36.84,63.16,42.11,36.84,47.37,31.58,68.42,63.16,31.58,36.84,26.32,26.32,73.68,73.68,78.95,94.74,36.84,31.58,42.11,36.84,57.89,63.16,31.58,36.84,26.32,68.42
3,EGYPT - PREMIER LEAGUE,2024-12-30,16:00,Enppi,Al Ahly,7.0,3.9,1.4,1.48,2.5,1.4,2.7,2.2,1.6,2.6,1.44,0.14285714285714285,0.25641025641025644,0.7142857142857143,0.6757,0.4,0.7143,0.3704,0.4545,0.625,0.3846,0.6944,1.7949,5.0,0.5571,2.7857,0.2,0.359,5.6,3.1,2.5,-70.3462,-57.1715,-51.3402,4.0,0.7949,1.7857,0.6654,Unbalanced Game,1.3199,0.9883,2.1876,0.5102,-0.0036,0.6056,1.113,0.9115,1.4487,0.6224,1.1166,0.9661,0.8432,1.1579,2.9259,0.0613,2.3221,0.0957,2.9822,0.2784,1.2279,0.1372,0.7825,0.0792,1.1289,0.0557,0.7299,0.0764,0.7341,0.0316,-0.5105,-2.6964,-0.4278,-4.2188,-0.7748,-2.961,-2.1091,-0.6774,-0.2632,-5.1068,-0.3202,-4.8813,-0.1974,-6.155,-0.5132,-0.9534,-0.8368,-0.5483,-0.6796,-1.4757,-0.9726,-0.9436,-2.5184,-0.4811,-0.4737,-1.1744,-0.5833,-0.8532,-0.3553,-1.7444,-0.5132,-0.9534,-0.429,-3.7434,-0.2127,-11.1453,0.0605,49.2959,-0.2585,-8.6348,-0.2105,-7.4266,-0.2675,-6.6852,-0.1184,-13.0228,-0.5132,-0.9534,-0.8368,-0.5483,0.0574,55.2369,-0.9184,-0.2498,-0.675,-1.7144,1.6921,4.4741,5.2758,3.5595,4.6289,3.4198,3.4632,3.8768,0.3173,0.0277,0.2004,0.0848,0.2933,0.0191,0.4752,0.0139,0.4791,0.0211,0.5325,0.053,0.4071,0.0717,0.6787,0.0158,0.3286,0.3657,0.2035,0.0755,0.021,0.2349,0.3403,0.2465,0.119,0.0431,0.3274,0.3656,0.2041,0.076,0.0212,0.4303,0.3629,0.153,0.043,0.0091,1.1105,1.7173,1.0053,0.9277,178.5456,0.3948,170.4713,0.1559,27.47,42.21,25.42,26.37,31.58,52.63,26.32,15.79,47.37,73.68,36.84,21.05,47.37,73.68,36.84,21.05,52.63,57.89,57.89,68.42,42.11,31.58,42.11,36.84,57.89,63.16,84.21,94.74,42.11,36.84,47.37,52.63,52.63,47.37,15.79,42.11,36.84,73.68
4,ITALY - SERIE A,2024-12-30,18:30,Como,Lecce,1.73,3.6,5.0,1.44,2.63,1.33,3.4,2.1,1.73,1.95,1.8,0.5780346820809249,0.2777777777777778,0.2,0.6944,0.3802,0.7519,0.2941,0.4762,0.578,0.5128,0.5556,0.4806,0.346,2.0809,0.72,2.8902,1.3889,3.27,1.87,1.4,58.5492,43.0761,34.992,0.654,0.5194,0.28,0.4631,Unbalanced Game,1.625,0.7559,0.5109,2.1691,0.0571,-1.1498,1.594,0.7002,0.3098,2.4806,1.5369,0.7836,1.4595,0.7929,3.2989,0.048,1.379,0.6089,3.1742,0.0902,10.0044,0.0428,1.0723,0.0463,0.3141,0.2238,0.9145,0.0526,0.7615,0.0746,1.7227,1.9788,1.4304,2.5667,0.7227,3.6671,0.5173,7.4547,0.8904,2.8746,-0.0175,-60.3943,0.4982,4.3242,1.0921,2.7971,1.0058,3.1238,0.7447,3.5019,0.4114,6.1342,0.2588,11.8748,0.3816,3.9651,-0.1228,-5.3689,0.2667,5.3187,0.7061,3.2995,4.9112,1.6479,3.748,1.7994,3.4703,1.5939,5.1012,1.6905,2.6623,2.1484,0.1404,12.1916,1.4193,2.4233,3.2325,2.3135,1.4525,2.6549,1.0861,2.7667,0.8349,2.7171,2.3958,2.0772,20.936,1.3334,14.154,1.4391,17.005,1.2841,22.3706,1.3738,0.3028,0.035,0.2203,0.0881,0.4427,0.0217,0.4842,0.0688,0.4896,0.0141,0.4506,0.0322,0.5131,0.0546,0.2073,0.0502,0.2031,0.3238,0.258,0.1371,0.0546,0.7336,0.2273,0.0352,0.0036,0.0003,0.215,0.3305,0.254,0.1301,0.05,0.2324,0.3391,0.2475,0.1204,0.0439,1.8814,0.4853,1.5658,1.3801,182.2743,0.284,104.9283,0.6542,30.58,14.42,36.37,33.53,52.63,15.79,31.58,36.84,52.63,21.05,42.11,68.42,52.63,21.05,42.11,68.42,68.42,15.79,84.21,52.63,15.79,47.37,31.58,21.05,68.42,78.95,94.74,89.47,10.53,47.37,52.63,26.32,47.37,73.68,47.37,15.79,47.37,15.79
5,EGYPT - PREMIER LEAGUE,2024-12-30,19:00,Pharco,Smouha,3.3,3.0,2.1,1.5,2.4,1.4,2.62,2.25,1.57,2.0,1.73,0.30303030303030304,0.3333333333333333,0.47619047619047616,0.6667,0.4167,0.7143,0.3817,0.4444,0.6369,0.5,0.578,1.1,1.5714,0.9091,1.4286,0.6364,0.7,1.2,0.3,0.9,-30.9638,-8.5308,-24.2277,0.5714,0.1,0.4286,0.2036,Balanced Game,0.9999,1.2141,1.3406,0.9731,-0.2678,-0.3802,1.1116,0.8943,0.8444,1.0792,1.3793,0.6321,1.2246,1.131,3.4633,0.1452,2.6006,0.1356,4.3302,0.1102,4.0544,0.2426,0.7343,0.0592,0.6444,0.0649,0.8133,0.0504,0.7497,0.0871,-0.735,-1.2869,-0.7972,-1.7267,-0.3443,-5.5881,-0.4923,-2.3301,-0.5526,-0.8996,-0.386,-1.7215,-0.0965,-18.4435,-0.1246,-8.61,-0.4268,-5.5255,-0.7972,-1.7267,-0.1963,-11.3709,-0.6023,-1.1426,-0.4605,-1.7001,-0.386,-1.7215,-0.114,-12.7368,-0.2298,-2.9025,-0.2501,-11.6873,-0.6283,-4.0166,0.0164,223.189,-0.7634,-2.1036,-0.4342,-2.0297,-0.2982,-3.2991,0.2895,10.2715,-0.0193,-78.2021,-0.4699,-4.026,-0.831,-1.3804,-0.3825,-6.3349,-0.7972,-1.7267,3.3726,4.6301,0.8249,15.0181,3.6385,4.5516,0.6221,17.7013,0.3149,0.0435,0.3376,0.0524,0.2915,0.0569,0.3464,0.0228,0.5323,0.0229,0.5039,0.0101,0.3634,0.0498,0.3414,0.0308,0.329,0.3658,0.2033,0.0753,0.0209,0.4298,0.3629,0.1532,0.0431,0.0091,0.2518,0.3472,0.2395,0.1101,0.038,0.2939,0.3599,0.2204,0.0899,0.0275,1.2122,0.8343,1.3702,1.0449,160.9869,0.2582,147.6019,0.2721,30.26,28.21,26.95,17.53,21.05,36.84,52.63,36.84,36.84,42.11,57.89,42.11,36.84,42.11,57.89,42.11,57.89,36.84,73.68,73.68,26.32,26.32,36.84,36.84,63.16,63.16,94.74,84.21,26.32,36.84,36.84,36.84,63.16,63.16,21.05,31.58,26.32,36.84
6,EGYPT - PREMIER LEAGUE,2024-12-30,19:00,ZED,Petrojet,1.95,2.87,3.8,1.57,2.25,1.55,2.3,2.62,1.44,2.3,1.55,0.5128205128205129,0.3484320557491289,0.2631578947368421,0.6369,0.4444,0.6452,0.4348,0.3817,0.6944,0.4348,0.6452,0.6794,0.5132,1.4718,0.7553,1.9487,1.324,1.85,0.92,0.93,42.7688,24.7024,24.9384,0.4868,0.3206,0.2447,0.2765,Balanced Game,1.0912,1.1452,,,0.0618,,1.0857,1.2737,,,1.0239,0.8283,,,2.8449,0.0698,,,2.6653,0.3634,,,0.8992,0.1303,,,0.7414,0.0556,,,-0.4501,-2.6916,,,-0.7746,-2.2098,,,-0.2412,-1.5141,,,-0.2281,-6.8641,,,-0.6935,-1.4461,,,-0.8986,-0.8966,,,-0.1886,-2.7471,,,-0.4912,-1.1281,,,-0.2698,-6.4574,,,-0.0715,-29.5049,,,-0.1623,-3.7751,,,-0.1754,-10.1921,,,-0.7927,-1.1776,,,-0.0264,-81.053,,,5.2198,3.3831,,,5.6526,2.6872,,,0.302,0.0281,,,0.3283,0.0768,,,0.498,0.0394,,,0.4301,0.107,,,0.3377,0.3666,0.199,0.072,0.0195,,,,,,0.3592,0.3678,0.1883,0.0643,0.0164,,,,,,1.2933,,0.9777,,144.5502,0.3802,,,16.11,,42.21,,52.63,,15.79,,57.89,,36.84,,57.89,,36.84,,42.11,,63.16,,36.84,,26.32,,73.68,,89.47,,47.37,,42.11,,57.89,,52.63,,31.58,
7,ENGLAND - PREMIER LEAGUE,2024-12-30,20:45,Aston Villa,Brighton,1.95,3.75,3.7,1.3,3.4,1.2,4.5,1.67,2.2,1.57,2.25,0.5128205128205129,0.26666666666666666,0.27027027027027023,0.7692,0.2941,0.8333,0.2222,0.5988,0.4545,0.6369,0.4444,0.52,0.527,1.9231,1.0135,1.8974,0.9867,1.75,1.8,0.05,41.1859,41.9872,-1.4321,0.473,0.48,0.0135,0.3292,Unbalanced Game,1.7285,0.6811,0.825,1.427,0.4063,-0.7265,1.7075,0.6895,1.0437,1.2062,1.3013,0.9439,1.7702,0.8174,3.6636,0.0648,3.9653,0.1309,2.6842,0.252,6.5142,0.1924,1.2443,0.0808,0.752,0.1664,0.8759,0.1115,1.0414,0.0845,2.217,1.4285,1.8335,1.9272,2.7844,0.9741,0.8262,4.1114,0.9342,1.9513,1.393,2.1164,0.5833,2.6595,0.6228,4.1712,2.1478,1.7168,1.538,1.9544,2.4517,1.0992,0.6597,5.2357,1.2939,1.8018,1.1825,1.7576,0.557,2.5614,0.8816,2.6037,6.9758,1.1958,5.6436,1.3757,6.1728,0.9899,5.8827,1.3739,3.6623,1.6299,3.9807,1.6381,2.136,1.8771,2.3991,2.2437,2.8538,1.682,1.5947,1.9945,2.3567,1.4303,2.2683,1.7154,28.79,0.9857,23.6434,1.182,31.1741,0.8431,20.448,1.2212,0.2854,0.1181,0.32,0.0603,0.7123,0.0281,0.7802,0.017,0.458,0.0212,0.496,0.0815,0.5413,0.0682,0.346,0.074,0.1813,0.3096,0.2643,0.1504,0.0642,0.3521,0.3675,0.1918,0.0667,0.0174,0.2722,0.3542,0.2305,0.1,0.0325,0.1703,0.3015,0.2668,0.1574,0.0697,2.166,1.0958,1.4292,1.6746,163.198,0.5276,147.8213,0.3915,32.53,19.63,26.89,29.68,36.84,52.63,31.58,31.58,52.63,52.63,36.84,36.84,52.63,52.63,36.84,36.84,57.89,52.63,68.42,84.21,31.58,15.79,36.84,36.84,63.16,63.16,89.47,89.47,21.05,15.79,57.89,68.42,42.11,31.58,36.84,36.84,52.63,21.05
8,ENGLAND - PREMIER LEAGUE,2024-12-30,20:45,Ipswich,Chelsea,7.5,5.0,1.38,1.25,3.75,1.13,6.0,1.44,2.75,1.67,2.1,0.13333333333333333,0.2,0.7246376811594204,0.8,0.2667,0.885,0.1667,0.6944,0.3636,0.5988,0.4762,1.5,5.4348,0.6667,3.6232,0.184,0.276,6.12,2.5,3.62,-71.9027,-51.3402,-61.08,4.4348,0.5,2.6232,0.7498,Unbalanced Game,1.1137,1.0944,1.6749,0.6969,-0.0944,0.1863,1.3089,1.2227,1.9694,0.7639,1.4033,0.6213,1.7832,0.6574,3.4231,0.132,4.9516,0.0894,3.7246,0.1423,4.8221,0.0509,1.0836,0.2327,1.4869,0.1085,0.873,0.0906,0.9869,0.0327,2.5423,1.2464,1.7317,1.7976,0.66,4.9579,2.7602,1.1396,0.9254,2.4049,1.2535,1.6194,1.2193,1.8553,0.5509,2.8072,1.9496,1.2896,2.2073,2.2442,0.8406,3.7696,4.401,0.8135,0.8202,2.5158,1.3781,1.2915,1.2193,1.7939,0.893,1.9737,7.2155,0.9792,6.2363,1.4823,8.635,0.9587,4.87,1.4198,3.0307,1.9765,3.8833,1.1793,4.0614,1.542,2.3754,1.5677,2.9289,1.2313,2.3628,1.6827,3.901,1.163,1.3164,2.1619,28.0255,0.8551,27.7943,1.137,35.0395,0.8092,18.7469,1.1254,0.2801,0.1567,0.2343,0.0888,0.6363,0.0231,0.8323,0.0958,0.4755,0.0326,0.4009,0.0304,0.4829,0.1093,0.5001,0.051,0.2701,0.3536,0.2314,0.101,0.033,0.1395,0.2748,0.2706,0.1776,0.0875,0.2458,0.3449,0.242,0.1132,0.0397,0.1681,0.2998,0.2673,0.1589,0.0708,1.9567,2.375,1.5355,1.375,139.4077,0.5762,174.6124,0.3303,21.47,30.53,28.47,34.47,36.84,57.89,31.58,26.32,42.11,68.42,47.37,31.58,42.11,68.42,47.37,31.58,63.16,78.95,68.42,84.21,31.58,15.79,52.63,42.11,47.37,57.89,89.47,100.0,15.79,5.26,47.37,78.95,52.63,21.05,21.05,42.11,36.84,63.16
9,ITALY - SERIE A,2024-12-30,20:45,Bologna,Verona,1.5,4.1,7.0,1.4,2.75,1.3,3.5,1.99,1.91,2.05,1.7,0.6666666666666666,0.24390243902439027,0.14285714285714285,0.7143,0.3636,0.7692,0.2857,0.5025,0.5236,0.4878,0.5882,0.3659,0.2143,2.7333,0.5857,4.6667,1.7073,5.5,2.6,2.9,70.0169,52.4314,55.4077,0.7857,0.6341,0.4143,0.6462,Unbalanced Game,1.3156,0.8892,0.508,2.1815,0.4033,-0.9468,1.2741,1.0585,0.974,0.9054,0.8708,1.0013,1.9208,0.733,2.7652,0.093,5.8131,0.1568,1.731,0.088,12.5102,0.0519,0.9953,0.0958,0.6078,0.0671,0.6268,0.0603,0.9762,0.1219,2.2527,1.8306,0.6453,3.8601,1.8564,1.7277,0.5311,6.5336,1.5,2.2764,0.3246,4.5844,0.7982,3.4469,0.6228,3.5946,1.557,2.0687,0.1325,12.1336,1.0887,2.3433,0.5785,7.3623,1.0439,2.282,0.1404,7.8269,0.693,2.6177,0.8421,2.7475,6.4225,1.3881,2.0013,2.2301,4.8515,1.4196,5.1482,1.7238,3.9035,1.9006,1.0877,2.6196,2.3509,2.4876,2.5263,2.2423,2.1947,1.976,0.3122,6.6723,1.7902,1.7685,1.618,2.3956,28.3314,1.1354,12.8421,1.5212,21.4067,1.0852,21.9423,1.4392,0.2976,0.0749,0.2186,0.0805,0.3981,0.0291,0.4985,0.0528,0.5114,0.0217,0.5147,0.0241,0.5168,0.0842,0.2156,0.0464,0.2797,0.3563,0.227,0.0964,0.0307,0.3776,0.3678,0.1791,0.0581,0.0142,0.4186,0.3645,0.1587,0.0461,0.01,0.1465,0.2814,0.2702,0.173,0.0831,1.6202,0.9126,0.8832,1.6494,171.7401,0.4389,116.1996,0.6855,27.68,29.42,25.37,35.0,36.84,15.79,26.32,47.37,52.63,26.32,31.58,68.42,52.63,26.32,31.58,68.42,42.11,57.89,63.16,63.16,36.84,36.84,26.32,36.84,73.68,63.16,84.21,94.74,31.58,31.58,31.58,52.63,68.42,47.37,31.58,15.79,36.84,15.79
10,NORTHERN IRELAND - NIFL PREMIERSHIP,2024-12-30,20:45,Ballymena,Glenavon,2.5,3.3,2.5,1.37,2.85,1.32,3.25,2.07,1.71,1.86,1.86,0.4,0.30303030303030304,0.4,0.7299,0.3509,0.7576,0.3077,0.4831,0.5848,0.5376,0.5376,0.7576,1.0,1.32,1.32,1.0,0.7576,0.0,0.8,0.8,0.0,21.8014,-21.8014,0.0,0.2424,0.32,0.1243,Balanced Game,1.1102,1.3707,0.7159,1.7324,-0.3875,-1.1703,1.1818,1.2362,0.7403,1.4645,1.5693,0.7767,1.9106,0.8995,3.5568,0.1333,3.0961,0.2457,5.0331,0.2639,8.2777,0.0242,0.8743,0.1592,0.5419,0.1417,0.9269,0.0674,1.0419,0.0621,0.5491,4.6168,0.7756,3.868,1.1748,2.542,0.7684,4.934,0.1272,7.8082,0.1711,9.0602,1.1842,2.125,0.2368,4.7914,0.2,13.3715,0.3242,6.7465,0.8502,2.6022,0.3334,7.4394,0.0965,8.5886,0.0658,19.5319,0.6754,2.4362,0.1491,7.4769,1.3567,3.0909,1.7388,2.5321,1.9836,2.2123,2.5751,2.0841,0.4386,3.4104,0.4868,4.7763,2.0965,1.7617,0.6228,3.1254,0.859,3.0555,1.0407,3.1962,0.8392,3.2269,1.2107,2.6618,18.3079,1.3865,14.9551,1.6234,19.7145,1.3516,19.8579,1.4217,0.2705,0.0362,0.2818,0.1288,0.5411,0.0159,0.6113,0.0219,0.5081,0.0181,0.5583,0.0428,0.3801,0.0721,0.2943,0.0418,0.3067,0.3625,0.2142,0.0844,0.0249,0.477,0.3531,0.1307,0.0323,0.006,0.2082,0.3267,0.2564,0.1341,0.0526,0.148,0.2828,0.2701,0.172,0.0822,1.3138,0.9409,1.419,1.9409,168.9766,0.3668,121.3304,0.4382,21.42,17.79,28.58,16.0,26.32,26.32,36.84,57.89,36.84,26.32,63.16,63.16,36.84,26.32,63.16,63.16,36.84,26.32,63.16,84.21,36.84,15.79,31.58,31.58,68.42,68.42,100.0,89.47,31.58,31.58,47.37,36.84,52.63,63.16,26.32,26.32,42.11,21.05
